SampleID	Pond	pc1(0.297501699)	pc2(0.174429323799868)
IL8	Pond A (Gen1)	-0.014546734	-0.047079589
IL6	Pond A (Gen1)	-0.174885439	0.050132829
IL4	Pond A (Gen1)	-0.235045115	-0.14072456
IL3	Pond A (Gen1)	-0.251380062	0.049699285
IL2	Pond A (Gen1)	-0.196237152	-0.09324203
IL1	Pond A (Gen1)	0.155244853	-0.216780229
IE9	Pond B (Gen1)	0.307176318	-0.228427256
IE8	Pond B (Gen1)	0.134030109	-0.266832739
IE7	Pond B (Gen1)	-0.000928611	-0.197978386
IE5	Pond B (Gen1)	-0.209790583	-0.096975815
IE3	Pond B (Gen1)	-0.089980373	-0.003615429
IE2	Pond B (Gen1)	-0.190137237	-0.150605857
HL7	Pond A (Gen1)	-0.112551779	0.15345309
HL5	Pond A (Gen1)	-0.08996733	0.176143026
HL4	Pond A (Gen1)	0.023458107	0.110311216
HL2	Pond A (Gen1)	-0.148134446	0.14591977
HL1	Pond A (Gen1)	0.315038641	0.133806437
HE8	Pond B (Gen1)	0.365714507	0.106676452
HE7	Pond B (Gen1)	0.023281196	0.116056029
HE5	Pond B (Gen1)	-0.071873878	0.143981023
HE4	Pond B (Gen1)	0.1460765	0.095895966
HE2	Pond B (Gen1)	0.11133452	0.09463977
HE1	Pond B (Gen1)	0.204103987	0.065546998
