taxa	organ	pond	value
Brevibacterium	Gut	Pond 1 (G1)	0.000156395
Corynebacterium	Gut	Pond 1 (G1)	0.000242963
Propionibacterium	Gut	Pond 1 (G1)	0.000396203
Robiginitalea	Gut	Pond 1 (G1)	0.000119692
Gloeobacter	Gut	Pond 1 (G1)	0.000996842
Cylindrospermopsis	Gut	Pond 1 (G1)	0.000191645
Calothrix	Gut	Pond 1 (G1)	0.000363638
Cyanobacterium	Gut	Pond 1 (G1)	0.101793886
Annamia	Gut	Pond 1 (G1)	0.003239792
Arthrospira	Gut	Pond 1 (G1)	0.000176233
Hydrocoleum	Gut	Pond 1 (G1)	0.000271942
Lyngbya	Gut	Pond 1 (G1)	4.71507E-05
Phormidium	Gut	Pond 1 (G1)	0.000156966
Planktothricoides	Gut	Pond 1 (G1)	3.27223E-05
Trichodesmium	Gut	Pond 1 (G1)	0.000216742
Halomicronema	Gut	Pond 1 (G1)	0.001144919
Leptolyngbya	Gut	Pond 1 (G1)	0.003156531
Synechococcus	Gut	Pond 1 (G1)	0.019612586
Bacillus	Gut	Pond 1 (G1)	2.57727E-05
Halobacillus	Gut	Pond 1 (G1)	0.000105922
Pontibacillus	Gut	Pond 1 (G1)	0.002766426
Clostridium	Gut	Pond 1 (G1)	0.022802359
Cetobacterium	Gut	Pond 1 (G1)	0.000245915
Fusobacterium	Gut	Pond 1 (G1)	0.000234956
Propionigenium	Gut	Pond 1 (G1)	0.070996605
Psychrilyobacter	Gut	Pond 1 (G1)	0.000689864
Planctomyces	Gut	Pond 1 (G1)	0.002763232
Mycoplana	Gut	Pond 1 (G1)	0.000356587
Devosia	Gut	Pond 1 (G1)	1.20038E-05
Methylobacterium	Gut	Pond 1 (G1)	0.000410876
Pleomorphomonas	Gut	Pond 1 (G1)	9.47469E-05
Phyllobacterium	Gut	Pond 1 (G1)	0.00012078
Agrobacterium	Gut	Pond 1 (G1)	0.000106239
Shinella	Gut	Pond 1 (G1)	5.35379E-05
Loktanella	Gut	Pond 1 (G1)	0.000542014
Marivita	Gut	Pond 1 (G1)	0.002248556
Ruegeria	Gut	Pond 1 (G1)	0.000911609
Shimia	Gut	Pond 1 (G1)	0.00064434
Azospirillum	Gut	Pond 1 (G1)	0.000472068
Inquilinus	Gut	Pond 1 (G1)	0.001084844
Erythrobacter	Gut	Pond 1 (G1)	0.00042646
Massilia	Gut	Pond 1 (G1)	0.000879025
Ralstonia	Gut	Pond 1 (G1)	9.89678E-05
Desulfovibrio	Gut	Pond 1 (G1)	0.010974401
Agarivorans	Gut	Pond 1 (G1)	0.000538179
HTCC2207	Gut	Pond 1 (G1)	0.000338933
Microbulbifer	Gut	Pond 1 (G1)	0.000752879
Thalassomonas	Gut	Pond 1 (G1)	4.19815E-05
Congregibacter	Gut	Pond 1 (G1)	0.00232563
Shewanella	Gut	Pond 1 (G1)	0.000437298
Enterobacter	Gut	Pond 1 (G1)	0.000311152
Morganella	Gut	Pond 1 (G1)	0.000262406
Serratia	Gut	Pond 1 (G1)	0.000410751
Yersinia	Gut	Pond 1 (G1)	0.000440724
Pseudoalteromonas	Gut	Pond 1 (G1)	0.015183833
Vibrio	Gut	Pond 1 (G1)	0.010699701
Enterovibrio	Gut	Pond 1 (G1)	0.000601979
Grimontia	Gut	Pond 1 (G1)	0.000496473
Photobacterium	Gut	Pond 1 (G1)	0.0094305
Vibrio	Gut	Pond 1 (G1)	0.241714538
Coraliomargarita	Gut	Pond 1 (G1)	0.000779752
Xiphinematobacter	Gut	Pond 1 (G1)	0.000511338
Brevibacterium	Gut	Pond 2 (G1)	0.000237128
Corynebacterium	Gut	Pond 2 (G1)	0.000308766
Propionibacterium	Gut	Pond 2 (G1)	3.0872E-05
Robiginitalea	Gut	Pond 2 (G1)	0.000125924
Gloeobacter	Gut	Pond 2 (G1)	0.000123719
Cylindrospermopsis	Gut	Pond 2 (G1)	1.08371E-05
Calothrix	Gut	Pond 2 (G1)	0.000143445
Cyanobacterium	Gut	Pond 2 (G1)	0.009858741
Annamia	Gut	Pond 2 (G1)	0.000818859
Arthrospira	Gut	Pond 2 (G1)	0.000304388
Hydrocoleum	Gut	Pond 2 (G1)	2.03004E-06
Lyngbya	Gut	Pond 2 (G1)	6.12896E-05
