sample	seqs_sample	phylogenetic_diveristy	chao1	goods_coverage	observed_otus	shannon	simpson
HA1	4832	16.652	268.574	0.991	229.737	6.408	0.981
HA2	4832	18.383	285.586	0.988	241.332	4.792	0.847
HA5	4832	19.119	297.397	0.988	245.219	5.323	0.929
HA7	4832	14.607	228.192	0.989	170.831	4.081	0.846
HA8	4832	14.372	217.494	0.988	162.311	3.451	0.781
HE1	4832	14.277	262.083	0.986	187.695	4.203	0.861
HE2	4832	15.288	268.927	0.985	188.814	4.106	0.865
HE4	4832	15.313	260.164	0.987	197.925	4.43	0.888
HE5	4832	18.699	309.861	0.987	259.677	5.69	0.951
HE7	4832	17.047	291.943	0.985	232.551	4.922	0.92
HE8	4832	10.147	163.408	0.992	126.287	3.677	0.864
HL1	4832	11.425	175.232	0.993	142.612	4.34	0.875
HL2	4832	22.372	363.132	0.989	329.003	6.626	0.973
HL4	4832	16.857	295.761	0.986	235.782	4.98	0.908
HL5	4832	18.353	296.672	0.985	231.654	4.331	0.862
HL7	4832	18.648	302.679	0.987	246.009	4.929	0.9
