	HL7	HE8	HL5	HL4	HL2	HL1	HE4	HE5	HE7	HE1	HE2	IE3	IE2	IE5	IE7	HA8	IA9	IA8	IA5	HA1	IA7	HA5	IA3	IA2	IE9	IE8	IA4	HA2	IL6	IL4	IL2	IL3	IL1	HA7	IL8
HL7	0.0	0.548502563265	0.315821942545	0.368856796954	0.231583210255	0.552236885948	0.383390513219	0.296849849664	0.372487162091	0.419495506451	0.390710386596	0.429920013124	0.425227287748	0.403673736948	0.471822935174	0.474545559642	0.420706258691	0.592749486089	0.580868913804	0.356068225499	0.480868313162	0.286658511873	0.518871335981	0.533226960731	0.680382051231	0.512581279015	0.494234595129	0.348615779403	0.310353425372	0.44658702365	0.398972688361	0.316936825552	0.632200803149	0.436385397381	0.415641235051
HE8	0.548502563265	0.0	0.580495510848	0.547420158112	0.561663534845	0.305961940241	0.450818545776	0.535692475548	0.446945818096	0.416988725593	0.459580949505	0.623304235156	0.666130350203	0.647069328077	0.569368763555	0.454116255983	0.636408092966	0.62419645135	0.667937097884	0.578520408929	0.67835240375	0.587225369457	0.627707499673	0.678557236949	0.524341625787	0.565128853596	0.686146716629	0.537883176312	0.608154549334	0.704812818122	0.636316732164	0.649098783709	0.524338573152	0.452757285721	0.60138098098
HL5	0.315821942545	0.580495510848	0.0	0.381611682407	0.260652299451	0.579218324709	0.370156735892	0.324162141367	0.331414345806	0.44179489287	0.413539539542	0.397759012279	0.426201846046	0.410178976472	0.523964134503	0.46488975897	0.403353609623	0.594235126121	0.637761013119	0.404347476751	0.497714295804	0.334218305954	0.480026509027	0.552182080805	0.711404262876	0.553083984852	0.478646527413	0.354815225294	0.331562277543	0.473662410139	0.401433612752	0.320892459496	0.598973496822	0.441825667423	0.489324136953
HL4	0.368856796954	0.547420158112	0.381611682407	0.0	0.347447215362	0.532620906605	0.436775685169	0.41841669951	0.4050453916	0.407700163737	0.444735451356	0.417820990943	0.441663582148	0.457707219076	0.448477810028	0.475003814432	0.474561690814	0.5469183238	0.593624016552	0.413399295118	0.497380801888	0.401956487355	0.484081116978	0.527195165501	0.618872274501	0.488885638739	0.522959837486	0.409068133923	0.400405129446	0.470078011732	0.416085443647	0.424127840225	0.555548213296	0.448444818162	0.471814739683
HL2	0.231583210255	0.561663534845	0.260652299451	0.347447215362	0.0	0.553870662678	0.367266177395	0.249842858378	0.32680971676	0.390048280744	0.365643114401	0.328693769573	0.348068265223	0.332735609053	0.486590220464	0.438514934029	0.405028704769	0.592168867343	0.628094151095	0.326818925408	0.431584135243	0.260366934389	0.520254861509	0.547558510926	0.692333253638	0.554700047044	0.493136722558	0.317604601401	0.262826566907	0.465715593255	0.307630451202	0.242488477917	0.608320463078	0.429755463829	0.424858940231
HL1	0.552236885948	0.305961940241	0.579218324709	0.532620906605	0.553870662678	0.0	0.466716263543	0.549050862868	0.47653547896	0.442481297678	0.470116947729	0.621896030471	0.695389543149	0.701002342768	0.639701513733	0.451798237246	0.65553870971	0.644140586711	0.688150447445	0.562098052583	0.71067629056	0.560519996612	0.639844820863	0.688755555748	0.494680747733	0.597229713593	0.709706099351	0.519110033841	0.628942543692	0.723156123209	0.683539987543	0.655877381432	0.580341430696	0.425235254655	0.610108749313
HE4	0.383390513219	0.450818545776	0.370156735892	0.436775685169	0.367266177395	0.466716263543	0.0	0.292036843211	0.342363921698	0.315669875928	0.319420357034	0.421081265933	0.478666754259	0.467672572057	0.464759848593	0.438175755312	0.481038745714	0.555688291237	0.556597461719	0.414561565797	0.525395454534	0.349643206559	0.522452955624	0.555432778823	0.601865041672	0.452917755714	0.523182440852	0.394710861216	0.412680659773	0.537128512594	0.458181719724	0.450753177635	0.494486387774	0.388758468003	0.490735684904
HE5	0.296849849664	0.535692475548	0.324162141367	0.41841669951	0.249842858378	0.549050862868	0.292036843211	0.0	0.317571295484	0.370605723149	0.354686812527	0.379849323263	0.407435240052	0.345618244837	0.483223764666	0.418516165203	0.385296346824	0.589000324577	0.596982644253	0.354503559917	0.479322956738	0.305099962194	0.533838246128	0.546283821616	0.670600275536	0.508898175007	0.485491250965	0.351482264794	0.361770588092	0.491892828824	0.380325503532	0.322184199452	0.601513328706	0.418547275304	0.431116230466
HE7	0.372487162091	0.446945818096	0.331414345806	0.4050453916	0.32680971676	0.47653547896	0.342363921698	0.317571295484	0.0	0.357569965511	0.326749591196	0.427440388034	0.460091474006	0.442313498606	0.459209281914	0.447027894376	0.456259877648	0.525220068511	0.590048260333	0.411779181939	0.544646360562	0.377691396934	0.537524905336	0.542825729987	0.622763080815	0.489554431768	0.524687214475	0.4199018483	0.399523835427	0.54168453149	0.455713422007	0.440741034741	0.568482094144	0.449887989178	0.481774642232
HE1	0.419495506451	0.416988725593	0.44179489287	0.407700163737	0.390048280744	0.442481297678	0.315669875928	0.370605723149	0.357569965511	0.0	0.316560158787	0.433117964538	0.496999730976	0.450521249485	0.466166348527	0.416137080688	0.512430526419	0.53740544046	0.606973130952	0.403671558918	0.505173278392	0.392928548109	0.500318070152	0.557528618288	0.61645594319	0.482512058761	0.5460010362	0.420544873124	0.447856715276	0.579576369658	0.446835394499	0.497382600775	0.508276980896	0.386381265878	0.485410321224
HE2	0.390710386596	0.459580949505	0.413539539542	0.444735451356	0.365643114401	0.470116947729	0.319420357034	0.354686812527	0.326749591196	0.316560158787	0.0	0.453161798932	0.475782171994	0.501943651131	0.471720034592	0.427237661524	0.49445631859	0.526651206817	0.586316860318	0.441231064278	0.477078722899	0.360186416788	0.47870268542	0.53339615277	0.634975056904	0.4828062807	0.526414671311	0.402249456231	0.442102042512	0.570515274596	0.470050024065	0.48551464076	0.539145580417	0.391978529154	0.477484896148
IE3	0.429920013124	0.623304235156	0.397759012279	0.417820990943	0.328693769573	0.621896030471	0.421081265933	0.379849323263	0.427440388034	0.433117964538	0.453161798932	0.0	0.375937968373	0.352516736327	0.507099393567	0.512102272081	0.425703910748	0.588902655838	0.618903085988	0.439664084772	0.480521314645	0.42040996289	0.518015157267	0.583655904336	0.637678397249	0.50155089196	0.485211636969	0.43841159912	0.310914397557	0.498589113282	0.351556241354	0.34507126912	0.548371608096	0.47703455108	0.350622212404
IE2	0.425227287748	0.666130350203	0.426201846046	0.441663582148	0.348068265223	0.695389543149	0.478666754259	0.407435240052	0.460091474006	0.496999730976	0.475782171994	0.375937968373	0.0	0.300858213836	0.411646704052	0.588289638092	0.424592369375	0.542793711708	0.521310274961	0.491502488977	0.375817690539	0.431602929546	0.49528093704	0.470420096177	0.672380871958	0.470149780163	0.451677461166	0.471414354044	0.366429397539	0.327666701742	0.306604876516	0.338691775144	0.551220708785	0.529155579004	0.449937599218
IE5	0.403673736948	0.647069328077	0.410178976472	0.457707219076	0.332735609053	0.701002342768	0.467672572057	0.345618244837	0.442313498606	0.450521249485	0.501943651131	0.352516736327	0.300858213836	0.0	0.408390940134	0.555737182349	0.404835873034	0.562031001535	0.542110295136	0.444474816095	0.421032229712	0.44055377873	0.503295443545	0.454337595084	0.65975355961	0.480920312397	0.387233405672	0.421511622432	0.338714409436	0.368096505982	0.282577753743	0.344202116458	0.577847705845	0.55129432888	0.445524861988
IE7	0.471822935174	0.569368763555	0.523964134503	0.448477810028	0.486590220464	0.639701513733	0.464759848593	0.483223764666	0.459209281914	0.466166348527	0.471720034592	0.507099393567	0.411646704052	0.408390940134	0.0	0.568593990497	0.502944479514	0.500710510791	0.547128287364	0.560864902114	0.45935517054	0.5029442447	0.484540839595	0.496271058517	0.640766800422	0.417563716157	0.506428861538	0.534142475445	0.485024811635	0.479028299225	0.416032151805	0.525136327625	0.496148533258	0.582681850869	0.524344680266
HA8	0.474545559642	0.454116255983	0.46488975897	0.475003814432	0.438514934029	0.451798237246	0.438175755312	0.418516165203	0.447027894376	0.416137080688	0.427237661524	0.512102272081	0.588289638092	0.555737182349	0.568593990497	0.0	0.501644227832	0.606586824899	0.637581047683	0.396110533156	0.554950459433	0.421790306896	0.547293965265	0.580817670906	0.633056775384	0.582968561635	0.554784338169	0.338555387464	0.489196153511	0.602315801777	0.522586493428	0.52021120431	0.544659335802	0.315481597975	0.47681033388
IA9	0.420706258691	0.636408092966	0.403353609623	0.474561690814	0.405028704769	0.65553870971	0.481038745714	0.385296346824	0.456259877648	0.512430526419	0.49445631859	0.425703910748	0.424592369375	0.404835873034	0.502944479514	0.501644227832	0.0	0.532646718975	0.558797432243	0.424380910873	0.427818628528	0.410850134347	0.450149410317	0.515982680149	0.669931393423	0.511782341519	0.380517186936	0.411753676881	0.374294890204	0.450236248983	0.368895590663	0.346617665259	0.629114843625	0.487224588039	0.474124652129
IA8	0.592749486089	0.62419645135	0.594235126121	0.5469183238	0.592168867343	0.644140586711	0.555688291237	0.589000324577	0.525220068511	0.53740544046	0.526651206817	0.588902655838	0.542793711708	0.562031001535	0.500710510791	0.606586824899	0.532646718975	0.0	0.456718077195	0.619990050559	0.506386808967	0.58131252548	0.504110420163	0.451846051604	0.595648497573	0.504061238501	0.504813481238	0.604544147102	0.568854210185	0.586365288236	0.569135918195	0.625420292788	0.542161225406	0.580964074056	0.600738793499
IA5	0.580868913804	0.667937097884	0.637761013119	0.593624016552	0.628094151095	0.688150447445	0.556597461719	0.596982644253	0.590048260333	0.606973130952	0.586316860318	0.618903085988	0.521310274961	0.542110295136	0.547128287364	0.637581047683	0.558797432243	0.456718077195	0.0	0.625149573204	0.497933319605	0.546577307125	0.541599947704	0.52651744442	0.558264624132	0.505213480541	0.450162609947	0.615999914298	0.584977395922	0.511720468089	0.547482641127	0.607397316755	0.544001259171	0.616110231579	0.574733719371
HA1	0.356068225499	0.578520408929	0.404347476751	0.413399295118	0.326818925408	0.562098052583	0.414561565797	0.354503559917	0.411779181939	0.403671558918	0.441231064278	0.439664084772	0.491502488977	0.444474816095	0.560864902114	0.396110533156	0.424380910873	0.619990050559	0.625149573204	0.0	0.534088030613	0.340305679279	0.533009844187	0.56104092343	0.681759957253	0.591077925451	0.474469101181	0.23317125632	0.379475000783	0.527441056504	0.419348206535	0.37925960988	0.592958284683	0.374561286878	0.451809516068
