gut_taxa	group	value	order
p_Actinobacteria	Genetic 1	-0.548499219744082	1
p_Bacteroidetes	Genetic 1	-1.21069047221924	2
c_Actinobacteria	Genetic 1	-0.67076409487896	3
c_Spartobacteria	Genetic 1	-2.51171854492895	4
c_Flavobacteriia	Genetic 1	-1.85416133184817	5
c_Cytophagia	Genetic 1	-1.69465133952741	6
c_Deltaproteobacteria	Genetic 1	-1.56239174741167	7
c_Bacteroidia	Genetic 1	-0.990030211432352	8
o_Bacteroidales	Genetic 1	-1.56239174741167	9
o_Flavobacteriales	Genetic 1	-1.85416133184817	10
o_Actinomycetales	Genetic 1	-0.67076409487896	11
o_Marinicellales	Genetic 1	-0.972997934209987	12
o_Aeromonadales	Genetic 1	-2.07191507661556	13
o_Kiloniellales	Genetic 1	-2.48810087107695	14
o_Sphingomonadales	Genetic 1	-2.59027731543862	15
o_Chthoniobacterales	Genetic 1	-2.51171854492895	16
o_Alteromonadales	Genetic 1	-1.16212979733048	17
o_Cytophagales	Genetic 1	-1.69465133952741	18
o_Planctomycetales	Genetic 1	-1.78017028973792	19
o_Caulobacterales	Genetic 1	-2.28537170255017	20
f_Shewanellaceae	Genetic 1	-2.57942693544916	21
f_Flavobacteriaceae	Genetic 1	-1.85416133184817	22
f_Erythrobacteraceae	Genetic 1	-2.59027731543862	23
f_Flammeovirgaceae	Genetic 1	-1.9582545741241	24
f_Microbacteriaceae	Genetic 1	-0.737197129485008	25
f_OM60	Genetic 1	-1.39185631382442	26
f_Chthoniobacteraceae	Genetic 1	-2.51171854492895	27
f_Planctomycetaceae	Genetic 1	-1.78017028973792	28
f_Caulobacteraceae	Genetic 1	-2.28537170255017	29
f_Colwelliaceae	Genetic 1	-1.89681207992433	30
f_Corynebacteriaceae	Genetic 1	-2.83333518781	31
f_Marinicellaceae	Genetic 1	-0.972997934209987	32
g_Enterobacter	Genetic 1	-2.72656326210517	33
g_Ruegeria	Genetic 1	-2.26124710093184	34
g_Loktanella	Genetic 1	-2.48651111723667	35
g_Propionibacterium	Genetic 1	-2.62210610030068	36
