hep_taxa	order	group	lda	P-value	hep_Gen1	hep_Gen2	hep_Gen1_log10	hep_Gen2_log10	HA1	HA2	HA5	HA7	HA8	HL1	HL2	HL4	HL5	HL7
g_Candidatus Xiphinematobacter	1	Gen 1	4.065885321	0.005345677	0.001871931	0.00E+00	-2.725396304	-5	0	0	0	0	0	0.000332853	0.000826184	0.000264785	0.000304044	0.000144065
g_Brevibacterium	2	Gen 1	3.451057116	0.023634037	0.001963005	2.10E-04	-2.704871814	-3.658106691	0	0.000209732	0	0	0	5.55E-05	0.000381316	3.78E-05	0.000912131	0.000576258
f_Chthoniobacteraceae	3	Gen 1	3.389435535	0.005345677	0.001871931	0.00E+00	-2.725396304	-5	0	0	0	0	0	0.000332853	0.000826184	0.000264785	0.000304044	0.000144065
o_Aeromonadales	4	Gen 1	3.361448389	0.047201768	0.016560485	3.10E-03	-1.78066478	-2.507014841	0.000603379	0.000314597	0.001366387	0.000487601	0.000329646	0.000443803	0.003622498	0.002439809	0.005540353	0.004514022
f_Aeromonadaceae	5	Gen 1	3.314796129	0.046532985	0.005701871	8.80E-04	-2.243221609	-3.050380707	0	0.000209732	0	0.000487601	0.000183137	0.000277377	0.000444868	0.000245872	0.002668829	0.002064925
o_Clostridiales	6	Gen 1	3.310562948	0.047201768	0.007779699	3.73E-03	-2.108479323	-2.427563491	0	0.001363255	0.000585594	0.001044859	0.000732547	0.001608787	0.00197013	0.002269589	0.001114827	0.000816366
o_Chthoniobacterales	7	Gen 1	3.308432591	0.005345677	0.001871931	0.00E+00	-2.725396304	-5	0	0	0	0	0	0.000332853	0.000826184	0.000264785	0.000304044	0.000144065
f_Brevibacteriaceae	8	Gen 1	3.187658079	0.023634037	0.001963005	2.10E-04	-2.704871814	-3.658106691	0	0.000209732	0	0	0	5.55E-05	0.000381316	3.78E-05	0.000912131	0.000576258
g_Corynebacterium	9	Gen 1	3.171628091	0.01860293	0.003242777	0.00E+00	-2.48774571	-5	0	0	0	0	0	0	0.000571973	5.67E-05	0.001317523	0.001296581
f_Corynebacteriaceae	10	Gen 1	2.948903623	0.01860293	0.003242777	0.00E+00	-2.48774571	-5	0	0	0	0	0	0	0.000571973	5.67E-05	0.001317523	0.001296581
p_Synergistetes	11	Gen 1	2.683509441	0.01860293	0	3.87E-03	-5	-2.411473706	0.003016895	0.000524329	0	6.97E-05	0.000256391	0	0.00E+00	0	0	0
c_Spartobacteria	12	Gen 1	2.6496156	0.005345677	0.001871931	0.00E+00	-2.725396304	-5	0	0	0	0	0	0.000332853	0.000826184	0.000264785	0.000304044	0.000144065
s_Arthrospira platensis	13	Gen 2	4.593370123	0.005345677	0.000595617	7.08E-03	-3.217801701	-2.149098168	0.002413516	0.001363255	0.002537576	0.000696573	7.33E-05	0	6.36E-05	9.46E-05	0.000101348	0.000336151
f_Phormidiaceae	14	Gen 2	4.387566583	0.009023439	0.016665891	2.61E-01	-1.777910952	-0.582746422	0.054706356	0.038276007	0.119656451	0.041028142	0.007691744	0.000388328	0.00146171	0.005182229	0.003006655	0.006626969
o_Oscillatoriales	15	Gen 2	4.385980363	0.009023439	0.016665891	2.61E-01	-1.777910952	-0.582746422	0.054706356	0.038276007	0.119656451	0.041028142	0.007691744	0.000388328	0.00146171	0.005182229	0.003006655	0.006626969
c_Oscillatoriophycideae	16	Gen 2	4.38489088	0.047201768	0.052357212	2.77E-01	-1.280940547	-0.557705559	0.063958166	0.040058725	0.123365216	0.041724714	0.007764999	0.000554754	0.017286304	0.012728614	0.005844397	0.015943143
s_Lyngbya hieronymusii	17	Gen 2	4.371305206	0.009023439	0.000283901	2.42E-03	-3.531799473	-2.613581295	0.000402253	0.000314597	0.00107359	0.000487601	0.000146509	0	6.36E-05	5.67E-05	6.76E-05	9.60E-05
