SampleID	group	PD_whole_tree	chao1	goods_coverage	observed_otus	shannon	simpson
HA1	Genetic 2 (Gen2)	16.627	267.123	0.991	229.2	6.407	0.981
HA2	Genetic 2 (Gen2)	18.447	287.615	0.988	242.1	4.791	0.847
HA5	Genetic 2 (Gen2)	19.006	290.461	0.989	242.4	5.319	0.929
HA7	Genetic 2 (Gen2)	14.413	220.84	0.989	170.7	4.088	0.848
HA8	Genetic 2 (Gen2)	14.201	213.902	0.988	161.7	3.467	0.783
HL1	Genetic 1 (Gen1)	11.507	175.074	0.993	142.5	4.339	0.874
HL2	Genetic 1 (Gen1)	22.557	370.68	0.988	330.9	6.63	0.973
HL4	Genetic 1 (Gen1)	16.996	298.079	0.986	236.5	4.974	0.907
HL5	Genetic 1 (Gen1)	18.421	306.087	0.985	233.2	4.325	0.861
HL7	Genetic 1 (Gen1)	18.951	310.087	0.986	249.9	4.934	0.899
IA2	Genetic 2 (Gen2)	12.943	259.785	0.986	182.2	3.854	0.823
IA3	Genetic 2 (Gen2)	14.276	270.09	0.985	178.9	3.849	0.842
IA4	Genetic 2 (Gen2)	15.6	274.091	0.985	198.5	4.047	0.865
IA5	Genetic 2 (Gen2)	10.951	211.051	0.989	141.9	3.491	0.805
IA7	Genetic 2 (Gen2)	14.771	283.936	0.984	193.9	4.121	0.882
IA8	Genetic 2 (Gen2)	11.251	197.537	0.989	139.5	3.688	0.842
IA9	Genetic 2 (Gen2)	17.783	296.002	0.984	215.3	3.983	0.864
IL1	Genetic 1 (Gen1)	10.983	230.485	0.988	142.8	3.741	0.826
IL2	Genetic 1 (Gen1)	20.309	334.667	0.986	287	5.954	0.954
IL3	Genetic 1 (Gen1)	22.014	341.558	0.989	304.3	6.775	0.982
IL4	Genetic 1 (Gen1)	15.548	264.668	0.986	193.1	3.968	0.795
IL6	Genetic 1 (Gen1)	20.077	348.302	0.984	289.5	5.417	0.93
IL8	Genetic 1 (Gen1)	15.55	255.482	0.988	196.5	4.44	0.883
