SampleID	group	PD_whole_tree	chao1	goods_coverage	observed_otus	shannon	simpson
IA2	Genetic2	12.943	259.785	0.986	182.2	3.854	0.823
IA3	Genetic2	14.276	270.09	0.985	178.9	3.849	0.842
IA4	Genetic2	15.6	274.091	0.985	198.5	4.047	0.865
IA5	Genetic2	10.951	211.051	0.989	141.9	3.491	0.805
IA7	Genetic2	14.771	283.936	0.984	193.9	4.121	0.882
IA8	Genetic2	11.251	197.537	0.989	139.5	3.688	0.842
IA9	Genetic2	17.783	296.002	0.984	215.3	3.983	0.864
IL1	Genetic1	10.983	230.485	0.988	142.8	3.741	0.826
IL2	Genetic1	20.309	334.667	0.986	287	5.954	0.954
IL3	Genetic1	22.014	341.558	0.989	304.3	6.775	0.982
IL4	Genetic1	15.548	264.668	0.986	193.1	3.968	0.795
IL6	Genetic1	20.077	348.302	0.984	289.5	5.417	0.93
IL8	Genetic1	15.55	255.482	0.988	196.5	4.44	0.883

