sample	Genetic	Pond	Organ	pc2(0.12926151779759)	pc3(0.0821986422754955)
HA1	G2	Pond 3 (G2)	Hepatopancreas	0.224524297	0.123550486
HA2	G2	Pond 3 (G2)	Hepatopancreas	0.179750532	0.088551751
HA5	G2	Pond 3 (G2)	Hepatopancreas	0.158150854	0.061575641
HA7	G2	Pond 3 (G2)	Hepatopancreas	0.189424773	0.245340563
HA8	G2	Pond 3 (G2)	Hepatopancreas	0.133249876	0.13746142
HE1	G1	Pond 2 (G1)	Hepatopancreas	0.048332248	0.01726922
HE2	G1	Pond 2 (G1)	Hepatopancreas	0.036760246	0.001787314
HE4	G1	Pond 2 (G1)	Hepatopancreas	0.080470539	-0.069913327
HE5	G1	Pond 2 (G1)	Hepatopancreas	0.15207969	-0.095174907
HE7	G1	Pond 2 (G1)	Hepatopancreas	0.07215686	-0.097268016
HE8	G1	Pond 2 (G1)	Hepatopancreas	0.005467627	-0.009669799
HL1	G1	Pond 1 (G1)	Hepatopancreas	0.1173329	0.032924488
HL2	G1	Pond 1 (G1)	Hepatopancreas	0.189777383	-0.119944135
HL4	G1	Pond 1 (G1)	Hepatopancreas	0.063756049	-0.074955292
HL5	G1	Pond 1 (G1)	Hepatopancreas	0.148550773	0.002969923
HL7	G1	Pond 1 (G1)	Hepatopancreas	0.239997822	-0.011101585
IA2	G2	Pond 3 (G2)	Gut	-0.20765985	0.120811308
IA3	G2	Pond 3 (G2)	Gut	-0.100649695	0.085803737
IA4	G2	Pond 3 (G2)	Gut	-0.13446247	0.127317872
IA5	G2	Pond 3 (G2)	Gut	-0.284021924	0.144621652
IA7	G2	Pond 3 (G2)	Gut	-0.116752814	0.161758903
IA8	G2	Pond 3 (G2)	Gut	-0.243816745	0.158914576
IA9	G2	Pond 3 (G2)	Gut	-0.007423711	0.199984331
IE2	G1	Pond 2 (G1)	Gut	-0.09107178	-0.11054894
IE3	G1	Pond 2 (G1)	Gut	0.03415939	-0.162738013
IE5	G1	Pond 2 (G1)	Gut	-0.0325561	-0.185033861
IE7	G1	Pond 2 (G1)	Gut	-0.223426853	-0.015686588
IE8	G1	Pond 2 (G1)	Gut	-0.208371667	-0.078003853
IE9	G1	Pond 2 (G1)	Gut	-0.227847953	-0.160960431
IL1	G1	Pond 1 (G1)	Gut	-0.266727225	-0.190468258
IL2	G1	Pond 1 (G1)	Gut	-0.025192376	-0.155419476
IL3	G1	Pond 1 (G1)	Gut	0.120014401	-0.126382255
IL4	G1	Pond 1 (G1)	Gut	-0.109129816	0.131643465
IL6	G1	Pond 1 (G1)	Gut	0.049507236	-0.053865917
IL8	G1	Pond 1 (G1)	Gut	0.035647483	-0.125151996
