#SampleID	group
2016-Mi1	2016
2016-Mi2	2016
2016-Mi3	2016
2016-Mi4	2016
2016-Mi5	2016
2016-Mi6	2016
2017-Mi2	2017
2017-Mi3	2017
2017-Mi4	2017
2017-Mi5	2017
2017-Mi6	2017
IE2	Gen 1
IE3	Gen 1
IE5	Gen 1
IE7	Gen 1
IE8	Gen 1
IE9	Gen 1
IL1	Gen 1
IL2	Gen 1
IL3	Gen 1
IL4	Gen 1
IL6	Gen 1
IL8	Gen 1
IA2	Gen 2
IA3	Gen 2
IA4	Gen 2
IA5	Gen 2
IA7	Gen 2
IA8	Gen 2
IA9	Gen 2
1IS	WT
IS	WT
2-BI	Diseased
7A	Healthy
27-BI	Diseased
49-BI	Diseased
68-BI	Healthy
139-I	Healthy
Aqua1	Vannamei Cult
Aqua2	Vannamei Cult
Aqua3	Vannamei Cult
Aqua4	Vannamei Cult
Aqua5	Vannamei Cult
Aqua6	Vannamei Cult
Aqua7	Vannamei Cult
Aqua8	Vannamei Cult
Aqua9	Vannamei Cult
P210	WT
P2-9	WT
P212	WT
P2-11	WT
P24	WT
P25	WT
P28	WT
P2-14	WT
