	P210	P212	1IS	IE9	P2-14	P2-11	IE3	IE2	IE5	IE7	IA9	IA8	IA5	IA4	IA7	P2-9	IA3	IA2	IL6	IE8	IS	P25	P24	IL4	IL2	IL3	IL1	P28	IL8
P210	0.0	0.464248554811	0.623545879818	0.744933211157	0.522541914319	0.552361077362	0.645890024989	0.676157263927	0.688769172079	0.691425557198	0.655557726941	0.709140462004	0.720990327857	0.687459065162	0.69491895512	0.578968769204	0.595879098714	0.765482853793	0.662310874594	0.620698535038	0.822980792698	0.587578707933	0.647407161241	0.728894920171	0.692956657563	0.662217952393	0.678023703734	0.578567221269	0.67822419765
P212	0.464248554811	0.0	0.529093673125	0.782279075207	0.41433169183	0.49281405206	0.619916518155	0.650871813766	0.664018317747	0.716168714796	0.632807703513	0.71060063048	0.721758985153	0.659797566607	0.684399172941	0.405939185849	0.64160488863	0.776480010866	0.617853581565	0.678344421962	0.853851623577	0.464589424595	0.755124917895	0.665246428777	0.639200843995	0.626948588041	0.75828144292	0.64973498566	0.7097972476
1IS	0.623545879818	0.529093673125	0.0	0.75274396456	0.463887614908	0.51215729973	0.66139720268	0.762425209135	0.753837754357	0.784253129167	0.704892546389	0.796566331474	0.790264078789	0.728526249488	0.778447884265	0.390912901084	0.691276443796	0.822048249263	0.708653830645	0.736904854096	0.725470172367	0.372990252348	0.743283777359	0.785755410725	0.737270433644	0.674868711867	0.798580948442	0.593304629469	0.703628168425
IE9	0.744933211157	0.782279075207	0.75274396456	0.0	0.721399425893	0.665762954216	0.658673676801	0.690923386837	0.705922471011	0.620143362813	0.746320979602	0.617078028642	0.670845914861	0.698910801748	0.657328577077	0.750943117094	0.621639064222	0.573713841722	0.752892727551	0.598876699	0.844240197017	0.714065262458	0.628976059507	0.750432014022	0.732418994437	0.764562205176	0.566046042725	0.670612218821	0.658975219103
P2-14	0.522541914319	0.41433169183	0.463887614908	0.721399425893	0.0	0.479989572161	0.614360703968	0.632588559727	0.675294587409	0.715844931369	0.610040733854	0.725735639669	0.756217412554	0.635264904074	0.705907869899	0.305506917783	0.573802819711	0.766248293236	0.609982424097	0.629478397608	0.874604830514	0.34035249061	0.728910057394	0.716694188792	0.630048011903	0.57047125459	0.697690349027	0.556650720632	0.713828474515
P2-11	0.552361077362	0.49281405206	0.51215729973	0.665762954216	0.479989572161	0.0	0.677057579095	0.717677393201	0.743312864219	0.738411182133	0.717777677647	0.713299200287	0.7380601732	0.707425461857	0.747393849751	0.431862815701	0.632141414172	0.75740161798	0.704909799329	0.697419580154	0.826560944701	0.394312831767	0.58743643881	0.782488639423	0.714942751379	0.71322638725	0.742756156707	0.579032811539	0.723484848485
IE3	0.645890024989	0.619916518155	0.66139720268	0.658673676801	0.614360703968	0.677057579095	0.0	0.43830727907	0.418763308499	0.559667338189	0.51014018351	0.652164947465	0.676950953625	0.516315457958	0.582542427336	0.657726297925	0.45036683421	0.666411725284	0.445245290291	0.575178169331	0.861466426484	0.663516719275	0.778094972161	0.552230926154	0.425667241437	0.388502434612	0.604544220269	0.660455350291	0.508905097584
IE2	0.676157263927	0.650871813766	0.762425209135	0.690923386837	0.632588559727	0.717677393201	0.43830727907	0.0	0.373932153888	0.462875903102	0.472710588752	0.58915011118	0.642646083922	0.471254687078	0.556513763246	0.702626584582	0.49603247712	0.646116857254	0.374065488032	0.580073448558	0.889675109036	0.700168484072	0.782751347888	0.492542749306	0.403003352562	0.418517554802	0.599434547113	0.65026424522	0.583960989131
IE5	0.688769172079	0.664018317747	0.753837754357	0.705922471011	0.675294587409	0.743312864219	0.418763308499	0.373932153888	0.0	0.470475708843	0.493404957309	0.663638636053	0.590832239271	0.501848672366	0.559215774332	0.719742305561	0.518919055321	0.586236953266	0.408173080847	0.525346626265	0.88157283639	0.734928072802	0.790586042287	0.534051926271	0.419243654185	0.406934622783	0.591240875912	0.730056738992	0.540316530884
IE7	0.691425557198	0.716168714796	0.784253129167	0.620143362813	0.715844931369	0.738411182133	0.559667338189	0.462875903102	0.470475708843	0.0	0.548096284496	0.533712038727	0.559601516933	0.526160608985	0.435459026001	0.749813919365	0.533064204968	0.521252347197	0.512912678553	0.510946528602	0.871992868663	0.717575694784	0.783634566726	0.518588639805	0.492942926009	0.541942246887	0.572655619873	0.685799458619	0.558792571023
IA9	0.655557726941	0.632807703513	0.704892546389	0.746320979602	0.610040733854	0.717777677647	0.51014018351	0.472710588752	0.493404957309	0.548096284496	0.0	0.625774025104	0.644721425109	0.489029910224	0.482714572713	0.631738533022	0.523274200658	0.654561654278	0.427946642976	0.547759522843	0.872236180291	0.638973644703	0.788733858861	0.505208627268	0.445230830968	0.401077960547	0.626310246085	0.690517965568	0.573230244198
IA8	0.709140462004	0.71060063048	0.796566331474	0.617078028642	0.725735639669	0.713299200287	0.652164947465	0.58915011118	0.663638636053	0.533712038727	0.625774025104	0.0	0.608718799912	0.591329053421	0.483652957147	0.763395845223	0.604333390236	0.538480038735	0.636745008909	0.591493609711	0.871735106767	0.731045511664	0.683515912184	0.61795532169	0.66373801137	0.725213366844	0.625005406213	0.745209637306	0.659132445582
IA5	0.720990327857	0.721758985153	0.790264078789	0.670845914861	0.756217412554	0.7380601732	0.676950953625	0.642646083922	0.590832239271	0.559601516933	0.644721425109	0.608718799912	0.0	0.532633440646	0.557803451435	0.761426892031	0.664609712097	0.554863072804	0.644352815563	0.628049343194	0.883808797871	0.747359542645	0.751818806195	0.588627999613	0.62962715346	0.67715703185	0.674438555384	0.721687765587	0.64691545223
IA4	0.687459065162	0.659797566607	0.728526249488	0.698910801748	0.635264904074	0.707425461857	0.516315457958	0.471254687078	0.501848672366	0.526160608985	0.489029910224	0.591329053421	0.532633440646	0.0	0.466880737906	0.685903262327	0.523989061668	0.570831431104	0.492647566643	0.554581834402	0.893099924853	0.692765864232	0.74478892831	0.477142122827	0.462520423382	0.536599264456	0.583800743351	0.684992233795	0.534887561709
IA7	0.69491895512	0.684399172941	0.778447884265	0.657328577077	0.705907869899	0.747393849751	0.582542427336	0.556513763246	0.559215774332	0.435459026001	0.482714572713	0.483652957147	0.557803451435	0.466880737906	0.0	0.73506560088	0.529153500197	0.485564393449	0.536950269835	0.511527369426	0.877519075357	0.718209465263	0.768295821429	0.50328986094	0.517167237311	0.581947008763	0.566236926785	0.727128091458	0.511390479043
P2-9	0.578968769204	0.405939185849	0.390912901084	0.750943117094	0.305506917783	0.431862815701	0.657726297925	0.702626584582	0.719742305561	0.749813919365	0.631738533022	0.763395845223	0.761426892031	0.685903262327	0.73506560088	0.0	0.642147833541	0.785241950355	0.666749924865	0.727990149225	0.862308337091	0.263936493975	0.728877574604	0.736087446946	0.678154142942	0.61408739176	0.777822933682	0.577073389716	0.735084648386
IA3	0.595879098714	0.64160488863	0.691276443796	0.621639064222	0.573802819711	0.632141414172	0.45036683421	0.49603247712	0.518919055321	0.533064204968	0.523274200658	0.604333390236	0.664609712097	0.523989061668	0.529153500197	0.642147833541	0.0	0.574134858482	0.552354172153	0.482001467797	0.866473206764	0.638317354839	0.746592294633	0.570483048289	0.492039853978	0.52988696019	0.516088274516	0.660500834725	0.599207483261
IA2	0.765482853793	0.776480010866	0.822048249263	0.573713841722	0.766248293236	0.75740161798	0.666411725284	0.646116857254	0.586236953266	0.521252347197	0.654561654278	0.538480038735	0.554863072804	0.570831431104	0.485564393449	0.785241950355	0.574134858482	0.0	0.662859381557	0.563619350261	0.864648629851	0.776041329836	0.748065683213	0.614605813937	0.602127272444	0.696858141366	0.588365596291	0.786983807811	0.657906708386
IL6	0.662310874594	0.617853581565	0.708653830645	0.752892727551	0.609982424097	0.704909799329	0.445245290291	0.374065488032	0.408173080847	0.512912678553	0.427946642976	0.636745008909	0.644352815563	0.492647566643	0.536950269835	0.666749924865	0.552354172153	0.662859381557	0.0	0.584205635314	0.877395345161	0.682694143902	0.80492757287	0.493702536469	0.456087677727	0.360098091875	0.67596430938	0.674415725312	0.552089354341
IE8	0.620698535038	0.678344421962	0.736904854096	0.598876699	0.629478397608	0.697419580154	0.575178169331	0.580073448558	0.525346626265	0.510946528602	0.547759522843	0.591493609711	0.628049343194	0.554581834402	0.511527369426	0.727990149225	0.482001467797	0.563619350261	0.584205635314	0.0	0.860554505608	0.663363236272	0.700115239593	0.617596795531	0.524827689878	0.575122799815	0.506433176585	0.69817238439	0.594895897969
IS	0.822980792698	0.853851623577	0.725470172367	0.844240197017	0.874604830514	0.826560944701	0.861466426484	0.889675109036	0.88157283639	0.871992868663	0.872236180291	0.871735106767	0.883808797871	0.893099924853	0.877519075357	0.862308337091	0.866473206764	0.864648629851	0.877395345161	0.860554505608	0.0	0.847507557111	0.869322566671	0.902047523536	0.888413282398	0.879945925359	0.875979691428	0.796788146872	0.798486845084
P25	0.587578707933	0.464589424595	0.372990252348	0.714065262458	0.34035249061	0.394312831767	0.663516719275	0.700168484072	0.734928072802	0.717575694784	0.638973644703	0.731045511664	0.747359542645	0.692765864232	0.718209465263	0.263936493975	0.638317354839	0.776041329836	0.682694143902	0.663363236272	0.847507557111	0.0	0.694943200794	0.752646994366	0.679422297857	0.637176348255	0.741950534693	0.535928119919	0.736181794765
P24	0.647407161241	0.755124917895	0.743283777359	0.628976059507	0.728910057394	0.58743643881	0.778094972161	0.782751347888	0.790586042287	0.783634566726	0.788733858861	0.683515912184	0.751818806195	0.74478892831	0.768295821429	0.728877574604	0.746592294633	0.748065683213	0.80492757287	0.700115239593	0.869322566671	0.694943200794	0.0	0.834761933562	0.813222978681	0.833767892246	0.724322801859	0.694464847334	0.764309077819
IL4	0.728894920171	0.665246428777	0.785755410725	0.750432014022	0.716694188792	0.782488639423	0.552230926154	0.492542749306	0.534051926271	0.518588639805	0.505208627268	0.61795532169	0.588627999613	0.477142122827	0.50328986094	0.736087446946	0.570483048289	0.614605813937	0.493702536469	0.617596795531	0.902047523536	0.752646994366	0.834761933562	0.0	0.508116106701	0.531940066334	0.649305769134	0.740701136735	0.607473161982
IL2	0.692956657563	0.639200843995	0.737270433644	0.732418994437	0.630048011903	0.714942751379	0.425667241437	0.403003352562	0.419243654185	0.492942926009	0.445230830968	0.66373801137	0.62962715346	0.462520423382	0.517167237311	0.678154142942	0.492039853978	0.602127272444	0.456087677727	0.524827689878	0.888413282398	0.679422297857	0.813222978681	0.508116106701	0.0	0.359357873649	0.570373032529	0.712237690153	0.506928854838
IL3	0.662217952393	0.626948588041	0.674868711867	0.764562205176	0.57047125459	0.71322638725	0.388502434612	0.418517554802	0.406934622783	0.541942246887	0.401077960547	0.725213366844	0.67715703185	0.536599264456	0.581947008763	0.61408739176	0.52988696019	0.696858141366	0.360098091875	0.575122799815	0.879945925359	0.637176348255	0.833767892246	0.531940066334	0.359357873649	0.0	0.668370202782	0.683560232264	0.549536458526
IL1	0.678023703734	0.75828144292	0.798580948442	0.566046042725	0.697690349027	0.742756156707	0.604544220269	0.599434547113	0.591240875912	0.572655619873	0.626310246085	0.625005406213	0.674438555384	0.583800743351	0.566236926785	0.777822933682	0.516088274516	0.588365596291	0.67596430938	0.506433176585	0.875979691428	0.741950534693	0.724322801859	0.649305769134	0.570373032529	0.668370202782	0.0	0.70109001737	0.579148524783
P28	0.578567221269	0.64973498566	0.593304629469	0.670612218821	0.556650720632	0.579032811539	0.660455350291	0.65026424522	0.730056738992	0.685799458619	0.690517965568	0.745209637306	0.721687765587	0.684992233795	0.727128091458	0.577073389716	0.660500834725	0.786983807811	0.674415725312	0.69817238439	0.796788146872	0.535928119919	0.694464847334	0.740701136735	0.712237690153	0.683560232264	0.70109001737	0.0	0.657249870448
IL8	0.67822419765	0.7097972476	0.703628168425	0.658975219103	0.713828474515	0.723484848485	0.508905097584	0.583960989131	0.540316530884	0.558792571023	0.573230244198	0.659132445582	0.64691545223	0.534887561709	0.511390479043	0.735084648386	0.599207483261	0.657906708386	0.552089354341	0.594895897969	0.798486845084	0.736181794765	0.764309077819	0.607473161982	0.506928854838	0.549536458526	0.579148524783	0.657249870448	0.0
