sample	group	chao1_allprobiotics	observed_otus_allprobiotics	shannon_allprobiotics	simpson_allprobiotics	chao1_genus	observed_otus_genus	shannon_genus	simpson_genus	chao1_species	observed_otus_species	shannon_species	simpson_species
HE1	Gen1	14.416	9.998	0.301	0.071	9.441	7.335	0.254	0.062	3.335	2.663	0.994	0.397
HE2	Gen1	11.123	8.694	0.23	0.051	8.321	6.875	0.186	0.042	1.956	1.819	nan	nan
HE4	Gen1	15.273	11.783	0.417	0.101	10.508	8.821	0.372	0.093	3.557	2.962	1.043	0.404
HE5	Gen1	16.662	13.61	0.941	0.304	11.97	10.522	0.884	0.296	3.74	3.088	1.331	0.533
HE7	Gen1	15.641	13.118	0.364	0.079	10.483	9.406	0.312	0.07	4.418	3.712	1.634	0.627
HE8	Gen1	14.175	11.09	0.272	0.058	10.025	8.758	0.226	0.049	2.896	2.332	0.7	0.272
HL1	Gen1	14.004	10.017	0.344	0.082	9.721	7.794	0.307	0.075	2.835	2.223	nan	nan
HL2	Gen1	24.969	15.685	1.024	0.335	14.93	11.245	0.947	0.323	7.118	4.44	1.671	0.589
HL4	Gen1	18.744	12.832	0.42	0.112	10.447	8.05	0.127	0.026	6.203	4.782	0.624	0.198
HL5	Gen1	15.736	11.117	0.389	0.089	9.987	8.349	0.349	0.082	3.949	2.768	nan	nan
HL7	Gen1	21.956	16.272	0.822	0.207	11.348	10.18	0.7	0.186	8.91	6.092	2.17	0.73
HA1	Gen2	20.302	16.538	2.348	0.713	12.935	11.689	2.18	0.698	6.408	4.849	2.009	0.703
HA2	Gen2	24.886	18.068	0.344	0.072	16.324	13.031	0.29	0.063	7.256	5.037	1.888	0.653
HA5	Gen2	25.452	13.54	1.213	0.439	12.012	8.683	1.149	0.431	9.835	4.857	2.131	0.743
HA7	Gen2	11.37	8.463	0.257	0.06	8.231	6.715	0.227	0.055	2.043	1.748	nan	nan
HA8	Gen2	14.754	10.014	0.205	0.042	10.578	7.928	0.168	0.035	2.475	2.086	nan	nan
