SampleID	Seqs/Sample	chao1 Ave.	chao1 Err.	goods_coverage Ave.	goods_coverage Err.	observed_otus Ave.	observed_otus Err.	shannon Ave.	shannon Err.	simpson Ave.	simpson Err.
2-BI	4515.0	8.670	nan	0.999	nan	6.851	nan	0.157	nan	0.036	nan
7A	4515.0	7.945	nan	0.999	nan	6.687	nan	0.119	nan	0.027	nan
27-BI	4515.0	7.725	nan	0.986	nan	5.441	nan	0.681	nan	0.221	nan
49-BI	4515.0	8.829	nan	0.999	nan	6.917	nan	0.154	nan	0.034	nan
68-BI	4515.0	9.410	nan	0.996	nan	7.658	nan	1.072	nan	0.365	nan
139-I	4515.0	11.873	nan	0.999	nan	9.875	nan	0.333	nan	0.080	nan
HA1	4515.0	20.302	nan	0.987	nan	16.538	nan	2.348	nan	0.713	nan
HA2	4515.0	24.886	nan	0.997	nan	18.068	nan	0.344	nan	0.072	nan
HA5	4515.0	25.452	nan	0.992	nan	13.540	nan	1.213	nan	0.439	nan
HA7	4515.0	11.370	nan	0.998	nan	8.463	nan	0.257	nan	0.060	nan
HA8	4515.0	14.754	nan	0.998	nan	10.014	nan	0.205	nan	0.042	nan
HE1	4515.0	14.416	nan	0.997	nan	9.998	nan	0.301	nan	0.071	nan
HE2	4515.0	11.123	nan	0.998	nan	8.694	nan	0.230	nan	0.051	nan
HE4	4515.0	15.273	nan	0.998	nan	11.783	nan	0.417	nan	0.101	nan
HE5	4515.0	16.662	nan	0.996	nan	13.610	nan	0.941	nan	0.304	nan
HE7	4515.0	15.641	nan	0.998	nan	13.118	nan	0.364	nan	0.079	nan
HE8	4515.0	14.175	nan	0.998	nan	11.090	nan	0.272	nan	0.058	nan
HL1	4515.0	14.004	nan	0.997	nan	10.017	nan	0.344	nan	0.082	nan
HL2	4515.0	24.969	nan	0.994	nan	15.685	nan	1.024	nan	0.335	nan
HL4	4515.0	18.744	nan	0.998	nan	12.832	nan	0.420	nan	0.112	nan
HL5	4515.0	15.736	nan	0.997	nan	11.117	nan	0.389	nan	0.089	nan
HL7	4515.0	21.956	nan	0.997	nan	16.272	nan	0.822	nan	0.207	nan
IA2	4515.0	11.997	nan	0.999	nan	9.480	nan	0.135	nan	0.027	nan
IA3	4515.0	13.844	nan	0.999	nan	10.809	nan	0.124	nan	0.024	nan
IA4	4515.0	10.845	nan	0.992	nan	8.451	nan	0.775	nan	0.223	nan
IA5	4515.0	9.526	nan	0.994	nan	6.361	nan	0.780	nan	0.311	nan
IA7	4515.0	11.551	nan	0.995	nan	8.699	nan	0.275	nan	0.060	nan
IA8	4515.0	7.913	nan	0.998	nan	6.419	nan	0.119	nan	0.024	nan
IA9	4515.0	14.199	nan	0.986	nan	9.498	nan	1.095	nan	0.338	nan
IE2	4515.0	12.487	nan	0.997	nan	10.267	nan	0.343	nan	0.082	nan
IE3	4515.0	17.544	nan	0.998	nan	13.424	nan	0.291	nan	0.062	nan
IE5	4515.0	17.068	nan	0.998	nan	13.869	nan	0.804	nan	0.274	nan
IE7	4515.0	11.669	nan	0.999	nan	9.951	nan	0.223	nan	0.047	nan
IE8	4515.0	13.968	nan	0.999	nan	10.203	nan	0.117	nan	0.022	nan
IE9	4515.0	19.761	nan	0.999	nan	14.799	nan	0.344	nan	0.077	nan
IL1	4515.0	12.968	nan	0.999	nan	10.359	nan	0.112	nan	0.021	nan
IL2	4515.0	20.841	nan	0.998	nan	14.427	nan	0.888	nan	0.293	nan
IL3	4515.0	27.316	nan	0.994	nan	19.457	nan	1.632	nan	0.574	nan
IL4	4515.0	9.283	nan	0.983	nan	7.505	nan	1.200	nan	0.376	nan
IL6	4515.0	18.470	nan	0.996	nan	14.027	nan	0.528	nan	0.124	nan
IL8	4515.0	22.709	nan	0.997	nan	15.523	nan	0.354	nan	0.078	nan
