SampleID	Seqs/Sample	chao1 Ave.	chao1 Err.	goods_coverage Ave.	goods_coverage Err.	observed_otus Ave.	observed_otus Err.	shannon Ave.	shannon Err.	simpson Ave.	simpson Err.
2-BI	4515.0	5.266	nan	0.999	nan	4.447	nan	0.123	nan	0.029	nan
7A	4515.0	5.908	nan	1.000	nan	4.735	nan	0.101	nan	0.024	nan
27-BI	4515.0	6.473	nan	0.989	nan	4.990	nan	0.660	nan	0.217	nan
49-BI	4515.0	6.266	nan	0.999	nan	5.262	nan	0.122	nan	0.028	nan
68-BI	4515.0	6.103	nan	0.997	nan	5.169	nan	0.965	nan	0.346	nan
139-I	4515.0	5.562	nan	0.999	nan	4.605	nan	0.192	nan	0.050	nan
HA1	4515.0	12.935	nan	0.994	nan	11.689	nan	2.180	nan	0.698	nan
HA2	4515.0	16.324	nan	0.998	nan	13.031	nan	0.290	nan	0.063	nan
HA5	4515.0	12.012	nan	0.996	nan	8.683	nan	1.149	nan	0.431	nan
HA7	4515.0	8.231	nan	0.998	nan	6.715	nan	0.227	nan	0.055	nan
HA8	4515.0	10.578	nan	0.998	nan	7.928	nan	0.168	nan	0.035	nan
HE1	4515.0	9.441	nan	0.998	nan	7.335	nan	0.254	nan	0.062	nan
HE2	4515.0	8.321	nan	0.999	nan	6.875	nan	0.186	nan	0.042	nan
HE4	4515.0	10.508	nan	0.999	nan	8.821	nan	0.372	nan	0.093	nan
HE5	4515.0	11.970	nan	0.998	nan	10.522	nan	0.884	nan	0.296	nan
HE7	4515.0	10.483	nan	0.999	nan	9.406	nan	0.312	nan	0.070	nan
HE8	4515.0	10.025	nan	0.999	nan	8.758	nan	0.226	nan	0.049	nan
HL1	4515.0	9.721	nan	0.998	nan	7.794	nan	0.307	nan	0.075	nan
HL2	4515.0	14.930	nan	0.997	nan	11.245	nan	0.947	nan	0.323	nan
HL4	4515.0	10.447	nan	0.999	nan	8.050	nan	0.127	nan	0.026	nan
HL5	4515.0	9.987	nan	0.998	nan	8.349	nan	0.349	nan	0.082	nan
HL7	4515.0	11.348	nan	0.999	nan	10.180	nan	0.700	nan	0.186	nan
IA2	4515.0	7.257	nan	0.999	nan	6.127	nan	0.079	nan	0.016	nan
IA3	4515.0	8.743	nan	0.999	nan	7.469	nan	0.085	nan	0.016	nan
IA4	4515.0	6.334	nan	0.997	nan	5.962	nan	0.695	nan	0.209	nan
IA5	4515.0	5.945	nan	0.996	nan	4.784	nan	0.747	nan	0.306	nan
IA7	4515.0	7.354	nan	0.997	nan	6.045	nan	0.195	nan	0.044	nan
IA8	4515.0	5.897	nan	0.999	nan	4.913	nan	0.083	nan	0.017	nan
IA9	4515.0	9.088	nan	0.992	nan	7.379	nan	1.019	nan	0.326	nan
IE2	4515.0	7.836	nan	0.998	nan	6.903	nan	0.268	nan	0.067	nan
IE3	4515.0	9.453	nan	0.999	nan	8.211	nan	0.200	nan	0.044	nan
IE5	4515.0	10.993	nan	0.999	nan	9.343	nan	0.723	nan	0.261	nan
IE7	4515.0	7.426	nan	0.999	nan	6.639	nan	0.162	nan	0.035	nan
IE8	4515.0	10.115	nan	0.999	nan	7.257	nan	0.075	nan	0.014	nan
IE9	4515.0	12.792	nan	0.999	nan	10.759	nan	0.267	nan	0.061	nan
IL1	4515.0	7.998	nan	0.999	nan	6.949	nan	0.069	nan	0.013	nan
IL2	4515.0	7.997	nan	1.000	nan	7.995	nan	0.801	nan	0.280	nan
IL3	4515.0	18.783	nan	0.996	nan	12.340	nan	1.488	nan	0.559	nan
IL4	4515.0	6.307	nan	0.991	nan	5.769	nan	1.073	nan	0.352	nan
IL6	4515.0	11.339	nan	0.998	nan	8.946	nan	0.422	nan	0.105	nan
IL8	4515.0	13.881	nan	0.998	nan	11.407	nan	0.314	nan	0.072	nan
