SampleID	Genetic	Pond	Organ
HL1	Genetic 1	Pond A	Hepatopancreas
HL2	Genetic 1	Pond A	Hepatopancreas
HL4	Genetic 1	Pond A	Hepatopancreas
HL5	Genetic 1	Pond A	Hepatopancreas
HL7	Genetic 1	Pond A	Hepatopancreas
IL1	Genetic 1	Pond A	Gut
IL2	Genetic 1	Pond A	Gut
IL3	Genetic 1	Pond A	Gut
IL4	Genetic 1	Pond A	Gut
IL6	Genetic 1	Pond A	Gut
IL8	Genetic 1	Pond A	Gut
HE1	Genetic 1	Pond B	Hepatopancreas
HE2	Genetic 1	Pond B	Hepatopancreas
HE4	Genetic 1	Pond B	Hepatopancreas
HE5	Genetic 1	Pond B	Hepatopancreas
HE7	Genetic 1	Pond B	Hepatopancreas
HE8	Genetic 1	Pond B	Hepatopancreas
IE2	Genetic 1	Pond B	Gut
IE3	Genetic 1	Pond B	Gut
IE5	Genetic 1	Pond B	Gut
IE7	Genetic 1	Pond B	Gut
IE8	Genetic 1	Pond B	Gut
IE9	Genetic 1	Pond B	Gut
