	HA1	HA2	HA5	HA7	HA8	HE1	HE2	HE4	HE5	HE7	HE8	IA2	IA3	IA4	IA5	IA7	IA8	IA9	IE2	IE3	IE5	IE7	IE8	IE9
HA1	0	0.313391974	0.328139227	0.389502451	0.409286156	0.425600924	0.447635096	0.433894292	0.330011003	0.404049982	0.608657726	0.499071331	0.479878214	0.494434604	0.551613185	0.513476554	0.576033336	0.459431773	0.486523488	0.37263751	0.473283808	0.551008836	0.561170297	0.637179476
HA2	0.313391974	0	0.29184055	0.390842466	0.402319615	0.406339423	0.429923604	0.432917153	0.326261245	0.330954523	0.58161144	0.434563029	0.431171637	0.408659087	0.554952743	0.467797081	0.566680451	0.44460592	0.461735744	0.395447063	0.386063976	0.520940696	0.512981955	0.626183399
HA5	0.328139227	0.29184055	0	0.375666687	0.401995362	0.430418677	0.4443228	0.434416531	0.34940484	0.385660771	0.593404935	0.499606643	0.456571608	0.47571353	0.523562804	0.421636587	0.533998089	0.431704637	0.45889905	0.377640919	0.431889917	0.527810172	0.550633471	0.612042841
HA7	0.389502451	0.390842466	0.375666687	0	0.375322332	0.40309517	0.467035284	0.412556355	0.43748985	0.44474484	0.474915986	0.559237171	0.522465242	0.579014412	0.587223817	0.551146234	0.552865975	0.519374434	0.556056629	0.489477388	0.570907988	0.53977051	0.558273818	0.551287212
HA8	0.409286156	0.402319615	0.401995362	0.375322332	0	0.35798885	0.437051586	0.412301347	0.411019104	0.411007472	0.474379472	0.525067036	0.479799921	0.574263014	0.583296753	0.518156021	0.490416328	0.496326198	0.577153602	0.496881368	0.582702281	0.578182296	0.520822899	0.532474757
HE1	0.425600924	0.406339423	0.430418677	0.40309517	0.35798885	0	0.3228505	0.310162549	0.350173909	0.326683533	0.430392364	0.473037859	0.429273133	0.546198782	0.578749721	0.511138191	0.473403437	0.52234272	0.497583729	0.427963572	0.473058149	0.484591846	0.427367679	0.518881662
HE2	0.447635096	0.429923604	0.4443228	0.467035284	0.437051586	0.3228505	0	0.42119298	0.362100895	0.329222468	0.504796928	0.489718663	0.426842117	0.487812685	0.53422439	0.481184055	0.485267911	0.461496761	0.493869535	0.402304404	0.459941231	0.440002781	0.472177894	0.560476016
HE4	0.433894292	0.432917153	0.434416531	0.412556355	0.412301347	0.310162549	0.42119298	0	0.338648334	0.355739254	0.456368671	0.529247445	0.5006955	0.58223691	0.580303302	0.549051556	0.546424233	0.55091425	0.530646554	0.470703828	0.502863615	0.492191482	0.509474854	0.512560436
HE5	0.330011003	0.326261245	0.34940484	0.43748985	0.411019104	0.350173909	0.362100895	0.338648334	0	0.309981044	0.568908545	0.487198272	0.447517568	0.496729877	0.548977491	0.482227937	0.532642118	0.423053561	0.424158895	0.314512069	0.381759495	0.439428382	0.536439249	0.566530744
HE7	0.404049982	0.330954523	0.385660771	0.44474484	0.411007472	0.326683533	0.329222468	0.355739254	0.309981044	0	0.49427894	0.515146786	0.457951745	0.515770584	0.56263414	0.507772874	0.511303326	0.458466714	0.458979211	0.389704999	0.426617208	0.466465413	0.510586535	0.548712634
HE8	0.608657726	0.58161144	0.593404935	0.474915986	0.474379472	0.430392364	0.504796928	0.456368671	0.568908545	0.49427894	0	0.657841665	0.588316765	0.708982284	0.678002925	0.682081355	0.601388493	0.661771896	0.702637726	0.631698934	0.690853172	0.614630029	0.578335211	0.401670628
IA2	0.499071331	0.434563029	0.499606643	0.559237171	0.525067036	0.473037859	0.489718663	0.529247445	0.487198272	0.515146786	0.657841665	0	0.375921613	0.415707022	0.455750194	0.389077772	0.485394041	0.492130976	0.45690087	0.476307074	0.395597386	0.459902518	0.445318432	0.643494792
IA3	0.479878214	0.431171637	0.456571608	0.522465242	0.479799921	0.429273133	0.426842117	0.5006955	0.447517568	0.457951745	0.588316765	0.375921613	0	0.495461955	0.536356753	0.447137219	0.492639451	0.451901806	0.481288942	0.436442925	0.451714851	0.436817938	0.46784961	0.602758605
IA4	0.494434604	0.408659087	0.47571353	0.579014412	0.574263014	0.546198782	0.487812685	0.58223691	0.496729877	0.515770584	0.708982284	0.415707022	0.495461955	0	0.408402515	0.348319996	0.511357638	0.426599965	0.421064822	0.456636608	0.371286296	0.448218904	0.484663755	0.678601697
IA5	0.551613185	0.554952743	0.523562804	0.587223817	0.583296753	0.578749721	0.53422439	0.580303302	0.548977491	0.56263414	0.678002925	0.455750194	0.536356753	0.408402515	0	0.460067541	0.500637973	0.520887654	0.480813121	0.570889407	0.512852365	0.453066961	0.498472247	0.612337552
IA7	0.513476554	0.467797081	0.421636587	0.551146234	0.518156021	0.511138191	0.481184055	0.549051556	0.482227937	0.507772874	0.682081355	0.389077772	0.447137219	0.348319996	0.460067541	0	0.456693591	0.384814148	0.34635193	0.423677389	0.376314607	0.403910212	0.516856302	0.646257836
IA8	0.576033336	0.566680451	0.533998089	0.552865975	0.490416328	0.473403437	0.485267911	0.546424233	0.532642118	0.511303326	0.601388493	0.485394041	0.492639451	0.511357638	0.500637973	0.456693591	0	0.515250875	0.538752408	0.540984571	0.531265051	0.499632552	0.503459816	0.56860437
IA9	0.459431773	0.44460592	0.431704637	0.519374434	0.496326198	0.52234272	0.461496761	0.55091425	0.423053561	0.458466714	0.661771896	0.492130976	0.451901806	0.426599965	0.520887654	0.384814148	0.515250875	0	0.430714796	0.341621358	0.426352759	0.478665041	0.520369958	0.643229869
IE2	0.486523488	0.461735744	0.45889905	0.556056629	0.577153602	0.497583729	0.493869535	0.530646554	0.424158895	0.458979211	0.702637726	0.45690087	0.481288942	0.421064822	0.480813121	0.34635193	0.538752408	0.430714796	0	0.364423945	0.283546742	0.35126801	0.482778965	0.640255207
IE3	0.37263751	0.395447063	0.377640919	0.489477388	0.496881368	0.427963572	0.402304404	0.470703828	0.314512069	0.389704999	0.631698934	0.476307074	0.436442925	0.456636608	0.570889407	0.423677389	0.540984571	0.341621358	0.364423945	0	0.334110253	0.453660376	0.505598461	0.586371885
IE5	0.473283808	0.386063976	0.431889917	0.570907988	0.582702281	0.473058149	0.459941231	0.502863615	0.381759495	0.426617208	0.690853172	0.395597386	0.451714851	0.371286296	0.512852365	0.376314607	0.531265051	0.426352759	0.283546742	0.334110253	0	0.380579606	0.472717515	0.654988449
IE7	0.551008836	0.520940696	0.527810172	0.53977051	0.578182296	0.484591846	0.440002781	0.492191482	0.439428382	0.466465413	0.614630029	0.459902518	0.436817938	0.448218904	0.453066961	0.403910212	0.499632552	0.478665041	0.35126801	0.453660376	0.380579606	0	0.467640293	0.606758059
IE8	0.561170297	0.512981955	0.550633471	0.558273818	0.520822899	0.427367679	0.472177894	0.509474854	0.536439249	0.510586535	0.578335211	0.445318432	0.46784961	0.484663755	0.498472247	0.516856302	0.503459816	0.520369958	0.482778965	0.505598461	0.472717515	0.467640293	0	0.570915549
IE9	0.637179476	0.626183399	0.612042841	0.551287212	0.532474757	0.518881662	0.560476016	0.512560436	0.566530744	0.548712634	0.401670628	0.643494792	0.602758605	0.678601697	0.612337552	0.646257836	0.56860437	0.643229869	0.640255207	0.586371885	0.654988449	0.606758059	0.570915549	0
