sample	group	relab_hep_genus	relab_hep_species	log10_hep_genus	log10_hep_species
HE1	Gen1	0.336740520	0.001586647	-0.472704622	-2.799519767
HE2	Gen1	0.372056605	0.001754827	-0.429390981	-2.755765667
HE4	Gen1	0.505007928	0.002317726	-0.296701804	-2.634937907
HE5	Gen1	0.247854641	0.001554215	-0.605802945	-2.808488904
HE7	Gen1	0.386580866	0.001929536	-0.412759645	-2.714547227
HE8	Gen1	0.393649441	0.001883041	-0.404890361	-2.725140224
HL1	Gen1	0.294921941	0.001089571	-0.530292916	-2.962744464
HL2	Gen1	0.249633389	0.002162930	-0.602697327	-2.664957536
HL4	Gen1	0.614319168	0.029789078	-0.211605934	-1.525942935
HL5	Gen1	0.257842852	0.001017072	-0.588644904	-2.992648344
HL7	Gen1	0.304990461	0.004190860	-0.515713744	-2.377696847
HA1	Gen2	0.078147238	0.002070127	-1.107086367	-2.68400301
HA2	Gen2	0.529337978	0.002679251	-0.276266946	-2.571986599
HA5	Gen2	0.197833080	0.001323261	-0.703701088	-2.878354487
HA7	Gen2	0.291576900	0.000902233	-0.535246886	-3.044681292
HA8	Gen2	0.356606869	0.00130917	-0.447810296	-2.883003955
