sample	group	relab_gut_genus	log10_gut_genus
sample1	Healthy	0.000000000	NA
sample2	Healthy	0.000000000	NA
sample3	Healthy	0.000011411	-4.942664376
sample4	Healthy	0.004231694	-2.373485737
sample5	Healthy	7.60754E-06	-5.118755635
sample6	Healthy	0	NA
sample7	Healthy	0.012358452	-1.908035919
sample8	Healthy	0	NA
sample9	Healthy	0	NA
sample10	Healthy	0	NA
sample11	Healthy	1.90189E-05	-4.720815626
sample12	Healthy	0	NA
sample13	Healthy	8.9662E-05	-4.047391702
sample14	Healthy	0	NA
sample15	Healthy	7.60754E-06	-5.118755635
sample16	Healthy	3.80377E-06	-5.41978563
sample17	Healthy	0	NA
sample18	Healthy	0	NA
sample19	Healthy	0	NA
sample20	Healthy	0	NA
sample21	Healthy	0	NA
sample22	Healthy	0	NA
sample23	Healthy	0.000226598	-3.64474444
sample24	Healthy	3.04302E-05	-4.516695643
sample25	Healthy	0	NA
sample26	Healthy	0	NA
sample27	Healthy	0	NA
sample28	Healthy	0	NA
sample29	Healthy	2.28226E-05	-4.64163438
sample30	Healthy	3.80377E-06	-5.41978563
sample31	Healthy	0	NA
sample32	Healthy	0	NA
sample33	Healthy	8.9662E-05	-4.047391702
sample34	Healthy	0	NA
sample35	Healthy	0	NA
sample36	Healthy	0	NA
sample37	Healthy	0.038387394	-1.415811369
sample38	Healthy	0.00011937	-3.923104498
sample39	Healthy	0	NA
sample40	Healthy	0	NA
sample41	Healthy	3.80377E-06	-5.41978563
sample42	Healthy	0.000115566	-3.93716874
sample43	Healthy	0.00024707	-3.60718039
sample44	Healthy	0.000161212	-3.792603803
sample45	Healthy	0	NA
sample46	Healthy	1.601248473	0.204458729
sample47	Healthy	3.80377E-06	-5.41978563
sample48	Disease	0	NA
sample49	Disease	0	NA
sample50	Disease	0	NA
sample51	Disease	0.001874919	-2.727017408
sample52	Disease	0.000401355	-3.396470873
sample53	Disease	0	NA
sample54	Disease	0.000203822	-3.690749365
sample55	Disease	0	NA
sample56	Disease	0	NA
sample57	Disease	0	NA
sample58	Disease	0	NA
sample59	Disease	0	NA
sample60	Disease	0	NA
sample61	Disease	0	NA
sample62	Disease	0	NA
sample63	Disease	0	NA
sample64	Disease	0	NA
sample65	Disease	0	NA
sample66	Disease	0	NA
sample67	Disease	0	NA
sample68	Disease	0	NA
sample69	Disease	0	NA
sample70	Disease	0	NA
sample71	Disease	6.12866E-05	-4.212634399
sample72	Disease	0	NA
sample73	Disease	0	NA
sample74	Disease	0	NA
sample75	Disease	0	NA
sample76	Disease	2.04289E-05	-4.689755654
sample77	Disease	0	NA
sample78	Disease	2.09503E-05	-4.678809632
sample79	Disease	0	NA
sample80	Disease	0	NA
sample81	Disease	0	NA
sample82	Disease	2.09503E-05	-4.678809632
sample83	Disease	0	NA
sample84	Disease	0.013908266	-1.856727026
sample85	Disease	0.000145088	-3.838369004
sample86	Disease	4.19006E-05	-4.377779636
sample87	Disease	0	NA
sample88	Disease	6.96605E-05	-4.157013157
sample89	Disease	0.000116806	-3.932533105
sample90	Disease	0.000158707	-3.799403697
sample91	Disease	0.000436913	-3.359604732
sample92	Disease	0	NA
sample93	Disease	0.879731276	-0.055649968
sample94	Disease	0	NA
