sample	group	relab_gut_species	log10_gut_species
sample1	Gen1	0.000036602	-4.436496591
sample2	Gen1	0.000000000	NA
sample3	Gen1	0.000053689	-4.270116027
sample4	Gen1	0.000399890	-3.398059585
sample5	Gen1	0.000139752	-3.854643236
sample6	Gen1	0.000450882	-3.34593713
sample7	Gen1	0.000037221	-4.429207602
sample8	Gen1	0.000088098	-4.055034124
sample9	Gen1	0.000158685	-3.799464495
sample10	Gen1	0.000042963	-4.366904649
sample11	Gen1	0.000444582	-3.352047656
sample12	Gen1	0.001309512	-2.882890576
sample13	Gen1	3.63036E-06	-5.44005066
sample14	Gen1	0	NA
sample15	Gen1	1.43109E-05	-4.844334251
sample16	Gen1	1.57144E-05	-4.803702873
sample17	Gen1	0	NA
sample18	Gen1	0.001273924	-2.894856512
sample19	Gen1	0.000319355	-3.495726287
sample20	Gen1	3.66019E-05	-4.436496591
sample21	Gen1	2.72487E-05	-4.56465423
sample22	Gen1	8.81243E-05	-4.0549043
sample23	Gen1	0.000145255	-3.837867868
sample24	Gen1	0	NA
sample25	Gen1	0.002737562	-2.562635991
sample26	Gen1	0.000109806	-3.959375337
sample27	Gen1	7.32038E-05	-4.135466596
sample28	Gen1	0.017773543	-1.750225982
sample29	Gen1	0.000105322	-3.977481713
sample30	Gen1	5.08244E-05	-4.293927691
sample31	Gen1	0.011851725	-1.926218442
sample32	Gen1	0.003349178	-2.475061748
sample33	Gen2	0	NA
sample34	Gen2	9.45394E-06	-5.02438714
sample35	Gen2	1.68245E-05	-4.774058758
sample36	Gen2	2.15786E-05	-4.665977456
sample37	Gen2	4.07905E-05	-4.38944139
sample38	Gen2	1.21246E-05	-4.916331729
sample39	Gen2	0	NA
sample40	Gen2	0.000021589	-4.665768551
sample41	Gen2	0.000045049	-4.346312206
sample42	Gen2	0.000012418	-4.905939351
sample43	Gen2	0.000126641	-3.897427118
sample44	Gen2	0.000246229	-3.608661625
sample45	Gen2	7.07689E-06	-5.150157529
sample46	Gen2	7.07689E-06	-5.150157529
sample47	Gen2	0	NA
sample48	Gen2	0	NA
sample49	Gen2	2.15889E-05	-4.665768551
sample50	Gen2	0.000409586	-3.387654664
sample51	Gen2	4.46899E-05	-4.349790256
sample52	Gen2	0	NA
sample53	Gen2	0	NA
sample54	Gen2	5.01798E-05	-4.299471427
sample55	Gen2	3.36927E-05	-4.472463897
sample56	Gen2	9.45394E-06	-5.02438714
sample57	Gen2	0.000483759	-3.315371014
sample58	Gen2	0	NA
sample59	Gen2	0	NA
sample60	Gen2	0.007256033	-2.139300768
sample61	Gen2	1.66771E-05	-4.777880241
sample62	Gen2	0	NA
sample63	Gen2	0.000856563	-3.067240851
sample64	Gen2	0.001553096	-2.808801808
