sample	group	relab_gut_species	log10_gut_species
sample1	Healthy	8.9662E-05	-4.047391702
sample2	Healthy	3.80377E-06	-5.41978563
sample3	Healthy	3.80377E-06	-5.41978563
sample4	Healthy	1.14113E-05	-4.942664376
sample5	Healthy	3.80377E-06	-5.41978563
sample6	Healthy	0.000452114	-3.344752388
sample7	Healthy	8.9662E-05	-4.047391702
sample8	Healthy	0.000810762	-3.091106861
sample9	Healthy	8.9662E-05	-4.047391702
sample10	Healthy	3.80377E-06	-5.41978563
sample11	Healthy	1.52151E-05	-4.817725639
sample12	Healthy	0	NA
sample13	Healthy	0.00584796	-2.232995592
sample14	Healthy	0.006662689	-2.176350441
sample15	Healthy	0.000558619	-3.252884116
sample16	Disease	0	NA
sample17	Disease	0	NA
sample18	Disease	0	NA
sample19	Disease	1.36192E-05	-4.865846913
sample20	Disease	6.80962E-06	-5.166876908
sample21	Disease	0	NA
sample22	Disease	0	NA
sample23	Disease	0	NA
sample24	Disease	0	NA
sample25	Disease	3.45696E-05	-4.461306241
sample26	Disease	0	NA
sample27	Disease	2.09503E-05	-4.678809632
sample28	Disease	0.002311046	-2.63619136
sample29	Disease	0.00037302	-3.428268449
sample30	Disease	0.000232049	-3.634420991
