sample	group	relab_gut_genus
sample1	Gen1	0.00900598
sample2	Gen1	4.00886E-05
sample3	Gen1	0.042533776
sample4	Gen1	0.000176523
sample5	Gen1	4.00886E-05
sample6	Gen1	0.093491916
sample7	Gen1	1.72757E-05
sample8	Gen1	0.008036323
sample9	Gen1	1.61683E-05
sample10	Gen1	0.000275083
sample11	Gen1	0.000555925
sample12	Gen1	3.05648E-05
sample13	Gen1	9.701E-05
sample14	Gen1	0.000474419
sample15	Gen1	0.000235659
sample16	Gen1	0.158077519
sample17	Gen1	0.006660244
sample18	Gen1	3.14507E-05
sample19	Gen1	0
sample20	Gen1	0.012783167
sample21	Gen1	0.003970764
sample22	Gen1	0.000320709
sample23	Gen1	0.000671318
sample24	Gen1	5.234163455
sample25	Gen1	1.83832E-05
sample26	Gen2	0.001439867
sample27	Gen2	0
sample28	Gen2	0.006830565
sample29	Gen2	5.29347E-05
sample30	Gen2	3.41085E-05
sample31	Gen2	0.007759468
sample32	Gen2	0
sample33	Gen2	0.001906312
sample34	Gen2	5.75858E-06
sample35	Gen2	0
sample36	Gen2	0
sample37	Gen2	0
sample38	Gen2	0
sample39	Gen2	1.81617E-05
sample40	Gen2	3.45515E-05
sample41	Gen2	0.038385604
sample42	Gen2	0.001941307
sample43	Gen2	0
sample44	Gen2	7.75194E-06
sample45	Gen2	0.002571429
sample46	Gen2	0.000116944
sample47	Gen2	5.31561E-06
sample48	Gen2	0.000220598
sample49	Gen2	2.18278804
sample50	Gen2	0.000107863
