sample	group	relab_hep_genus
sample1	Gen1	0.007469103
sample2	Gen1	0.043736656
sample3	Gen1	0.001268439
sample4	Gen1	2.83499E-05
sample5	Gen1	0.001711406
sample6	Gen1	0.00479402
sample7	Gen1	7.5969E-05
sample8	Gen1	5.84718E-05
sample9	Gen1	0.00047464
sample10	Gen1	7.26467E-05
sample11	Gen1	8.74862E-05
sample12	Gen1	0.000171872
sample13	Gen1	0.107127132
sample14	Gen1	0.026538427
sample15	Gen1	3.10078E-05
sample16	Gen1	0.000522702
sample17	Gen1	0.018197121
sample18	Gen1	0.002382281
sample19	Gen1	0.00152979
sample20	Gen1	0.000464009
sample21	Gen1	3.74695814
sample22	Gen1	3.78738E-05
sample23	Gen2	0.001432115
sample24	Gen2	0.023674197
sample25	Gen2	0.003233001
sample26	Gen2	0
sample27	Gen2	0.000560576
sample28	Gen2	0.000928461
sample29	Gen2	0
sample30	Gen2	0.000447176
sample31	Gen2	0.000820155
sample32	Gen2	0.000166777
sample33	Gen2	0
sample34	Gen2	0.000130897
sample35	Gen2	0.056945958
sample36	Gen2	0.035230343
sample37	Gen2	0
sample38	Gen2	0.000890365
sample39	Gen2	0.001726467
sample40	Gen2	0.00254773
sample41	Gen2	0.001745515
sample42	Gen2	6.06866E-05
sample43	Gen2	1.322423256
sample44	Gen2	0.000131561
