group	gut_gen1	gut_gen2	gut_healthy	gut_diseased	order
D_5__Aeromonas	-3.1995567097283	-3.6863328963425	-7	-7	2
D_5__Afifella	-5.56331269864241	-7	-5.4089353929735	-7	3
D_5__Bacillus	-2.39438190052079	-3.01176742165624	-2.926200662201	-3.21444545793843	4
D_5__Bdellovibrio	-4.93804641111506	-5.11690664142431	-5.57893928080812	-3.89545143626924	5
D_5__Bowmanella	-5.35654732351381	-5.3066512453087	-7	-7	6
D_5__Clostridium	-1.8390991964095	-2.95386478977269	-2.37399998383282	-4.0635586459673	7
D_5__Ectothiorhodospira	-5.75283719096067	-7	-7	-7	8
D_5__Enterobacter	-3.30123981057312	-3.56264000227521	-7	-7	9
D_5__Enterococcus	-5.56331269864241	-6.06333548699992	-7	-7	10
D_5__Exiguobacterium	-4.36410226231015	-7	-5.19156619594819	-5.15906000771616	11
D_5__Glutamicibacter	-5.10054612243371	-7	-7	-7	12
D_5__Lactobacillus	-5.27029268121494	-7	-7	-7	13
D_5__Lactococcus	-4.82198185908084	-7	-7	-7	14
D_5__Marinomonas	-4.21106980646588	-5.54536853004761	-4.52191423569852	-7	15
D_5__Phaeobacter	-4.48722624648271	-5.27083521030723	-7	-7	16
D_5__Pseudoalteromonas	-1.87122110607872	-2.26217394833564	-1.8922900551221	-2.3337129869905	17
D_5__Pseudomonas	-3.08668200295382	-3.55259867680154	-4.41253935948581	-4.4059755955977	18
D_5__Rhodobacter	-5.56331269864241	-7	-7	-5.14874165128092	19
D_5__Rhodopseudomonas	-7	-5.8377642762338	-7	-7	20
D_5__Shewanella	-2.93266898013801	-3.43275607032431	-5.86327943284359	-4.63127996665728	21
D_5__Staphylococcus	-3.33142027837862	-4.78195315395796	-4.41253935948581	-4.40782324260413	22
D_5__Streptococcus	-4.57808691288402	-6.06333548699992	-4.11045012008798	-4.31366140487532	23
D_5__Streptomyces	-4.18780348646208	-4.5031934655819	-4.33431584112243	-3.92543697172173	24
D_5__Vibrio	-0.471293149983172	-0.506029837804951	-0.271793686151897	-0.531981596402203	25
D_5__Weissella	-5.56331269864241	-4.8073600773794	-7	-7	26
D_6__Bacillus_amyloliquefaciens	-7	-5.8377642762338	-7	-7	28
D_6__Bacillus_aryabhattai	-5.20296109538509	-6.31614279459965	-7	-7	29
D_6__Bacillus_cereus	-4.21973454701352	-5.55284196865778	-4.52191423569852	-7	30
D_6__Bacillus_endophyticus	-7	-7	-7	-7	31
D_6__Bacillus_firmus	-4.05887433649436	-5.11499518336175	-5.28678675465853	-5.33410957889754	32
D_6__Bacillus_foraminis	-4.82294567580171	-5.49485002168009	-5.86327943284359	-5.62464736076724	33
D_6__Bacillus_licheniformis	-5.06214623638866	-5.2839966563652	-3.82053639795084	-7	34
D_6__Bacillus_megaterium	-5.56331269864241	-5.82515550634454	-7	-7	35
D_6__Bacillus_pumilus	-4.3210066151619	-4.7636063514966	-7	-7	36
D_6__Bacillus_subtilis	-3.70499707952426	-4.48581364567631	-3.56905673989969	-7	37
D_6__Bacillus_thuringiensis	-5.56331269864241	-7	-7	-7	38
D_6__Bacillus_vireti	-3.72476122593222	-4.23021884968443	-5.86327943284359	-4.93429707215906	39
D_6__Enterobacter_hormaechei	-5.01772876696043	-5.18622558999444	-7	-7	40
D_6__Pseudoalteromonas_flavipulchra	-5.46428824648624	-5.13735588329583	-7	-7	41
D_6__Pseudoalteromonas_ruthenica	-4.98576096183759	-5.3085383349606	-7	-7	42
D_6__Rhodopseudomonas_palustris	-7	-5.8377642762338	-7	-7	43
D_6__Shewanella_algae	-3.61098372875256	-4.15879762987978	-7	-7	44
D_6__Staphylococcus_haemolyticus	-4.73074397258223	-7	-7	-7	45
D_6__Streptococcus_salivarius	-4.90541358724091	-7	-7	-5.14894967309836	46
D_6__Vibrio_alginolyticus	-2.90372573806185	-2.98347403753122	-2.70913183143781	-3.11243220755649	47
D_6__Vibrio_fluvialis	-5.46428824648624	-5.6050407715138	-7	-7	48
D_6__Vibrio_gazogenes	-5.46428824648624	-7	-7	-7	49
D_6__Vibrio_gutatarius	-3.39336426013308	-3.91097637638583	-2.65256088799804	-3.90429273573973	50
D_6__Vibrio_mediterranei	-3.59972577564935	-3.65284237036432	-3.72885800821935	-4.11041819785038	51

