sample	group	Aeromonas	Afifella	Bacillus	Bdellovibrio	Bowmanella	Clostridium	Ectothiorhodospira	Enterobacter	Enterococcus	Exiguobacterium	Glutamicibacter	Lactobacillus	Lactococcus	Marinomonas	Phaeobacter	Pseudoalteromonas	Pseudomonas	Rhodobacter	Rhodopseudomonas	Shewanella	Staphylococcus	Streptococcus	Streptomyces	Vibrio	Weissella	Bacillus amyloliquefaciens	Bacillus aryabhattai	Bacillus cereus	Bacillus endophyticus	Bacillus firmus	Bacillus foraminis	Bacillus licheniformis	Bacillus megaterium	Bacillus pumilus	Bacillus subtilis	Bacillus thuringiensis	Bacillus vireti	Enterobacter hormaechei	Pseudoalteromonas flavipulchra	Pseudoalteromonas ruthenica	Rhodopseudomonas palustris	Shewanella algae	Staphylococcus haemolyticus	Streptococcus salivarius	Vibrio alginolyticus	Vibrio fluvialis	Vibrio gazoGen es	Vibrio Hepatopancreasatarius	Vibrio mediterranei
HL1	Hepatopancreas Gen 1	-4.58502665202918	-7	-2.32344017367925	-3.98342207342101	-7	-7	-7	-3.74056381440338	-7	-4.2839966563652	-7	-3.54435585979393	-7	-7	-7	-2.98379846255317	-2.36840638465631	-7	-3.63147139102061	-4.2839966563652	-7	-3.58573379113054	-4.58502665202918	-0.547240393463427	-7	-4.58502665202918	-4.58502665202918	-7	-7	-7	-7	-7	-4.58502665202918	-7	-4.10846254232744	-7	-7	-7	-7	-7	-4.58502665202918	-7	-7	-7	-3.09448474833016	-7	-7	-7	-3.98342207342101
HL2	Hepatopancreas Gen 1	-3.0933676275496	-7	-2.23717976986848	-4.13430394008393	-7	-3.28963212008503	-7	-3.28963212008503	-7	-7	-7	-7	-7	-7	-4.43415218132648	-1.43367712481536	-2.94444431695527	-7	-3.73663855860512	-2.8560295543164	-3.59057751501515	-4.13430394008393	-4.13430394008393	-0.694771379089092	-7	-7	-7	-4.43415218132648	-7	-7	-7	-4.43415218132648	-7	-4.43415218132648	-3.65737995744665	-7	-4.13430394008393	-7	-4.43415218132648	-4.43415218132648	-7	-3.95821268102825	-7	-7	-2.91729467645624	-4.13430394008393	-7	-4.13430394008393	-3.65749639001979
HL4	Hepatopancreas Gen 1	-3.89412209797422	-7	-2.46107919552207	-4.79588001734408	-7	-3.79728015726867	-7	-3.02665320629394	-4.79588001734408	-7	-7	-7	-4.79588001734408	-4.49485002168009	-7	-2.66399240785502	-3.2292760873155	-4.49485002168009	-4.49485002168009	-3.71814429868445	-4.09799710864927	-3.95206348386192	-4.49485002168009	-0.217527304167964	-7	-7	-7	-4.79588001734408	-7	-4.1944991418416	-7	-4.79588001734408	-7	-4.1944991418416	-4.1944991418416	-7	-4.31966448658544	-7	-4.31966448658544	-7	-7	-4.79588001734408	-7	-7	-2.6326254401258	-3.79728015726867	-7	-1.57613555784889	-3.36608636832283
HL5	Hepatopancreas Gen 1	-2.87496985402376	-7	-2.48148842900757	-4.0433514207948	-7	-4.0433514207948	-7	-3.80048067797466	-7	-7	-7	-4.64397414280688	-4.64397414280688	-4.64397414280688	-7	-2.66811051193262	-3.39047495538346	-7	-4.34390179798717	-2.52526595179463	-3.64566294385336	-7	-4.64397414280688	-0.607302870912644	-7	-7	-7	-4.64397414280688	-7	-4.1681302257195	-7	-7	-7	-4.64397414280688	-4.64397414280688	-7	-4.64397414280688	-7	-7	-7	-7	-3.94649899761358	-7	-7	-3.26556343407069	-4.34390179798717	-7	-7	-3.80048067797466
HL7	Hepatopancreas Gen 1	-2.88974068114594	-7	-2.01834277747622	-3.54967235616297	-7	-3.79290445958078	-7	-3.1644121497146	-7	-7	-7	-7	-7	-7	-7	-2.02364543501796	-2.39491344923816	-7	-4.3936186348894	-2.42178486384214	-3.1644121497146	-3.91744439993263	-7	-0.56094871433589	-4.3936186348894	-7	-7	-2.85082524308864	-7	-4.3936186348894	-7	-4.09312646527793	-7	-4.09312646527793	-3.91685585685695	-2.91717873906067	-4.3936186348894	-7	-4.3936186348894	-7	-7	-4.09312646527793	-7	-7	-3.05251726344308	-4.09312646527793	-7	-7	-3.91744439993263
HA1	Hepatopancreas Gen 2	-3.18908632202532	-7	-2.08877743845196	-2.56588798408448	-7	-7	-7	-7	-7	-7	-7	-3.88778724695596	-7	-7	-3.88778724695596	-2.31991253139579	-1.63526840196288	-7	-3.41088965419578	-3.10991615139543	-2.88808988910214	-2.93384335199697	-7	-1.45998726263569	-3.88778724695596	-7	-7	-7	-7	-7	-7	-7	-7	-7	-3.58692498696197	-7	-7	-7	-7	-7	-3.88778724695596	-3.58692498696197	-7	-3.0429772729504	-3.58692498696197	-7	-7	-7	-3.58692498696197
HA2	Hepatopancreas Gen 2	-3.20393449167131	-7	-2.46930530892743	-3.44691958228488	-7	-3.44721014980722	-7	-3.44691958228488	-7	-3.74782927426258	-7	-3.44691958228488	-7	-7	-7	-2.3010213098612	-2.34152201137264	-7	-3.74782927426258	-3.44691958228488	-3.00766478878059	-3.5718182139615	-7	-0.290416743273067	-7	-7	-7	-7	-7	-3.35003460635425	-4.04866248120408	-7	-7	-7	-7	-7	-7	-7	-4.04866248120408	-7	-4.04866248120408	-3.74690441415097	-7	-7	-2.87297785509156	-7	-7	-3.44691958228488	-4.04866248120408
HA5	Hepatopancreas Gen 2	-4.08196966321512	-7	-2.36644873336839	-7	-7	-3.78117051339972	-7	-3.78117051339972	-7	-3.6051667280056	-7	-3.6051667280056	-4.08196966321512	-7	-7	-1.3452686187179	-2.29006206181276	-7	-4.08196966321512	-3.48027042246867	-7	-7	-7	-0.848197789960517	-7	-7	-4.08196966321512	-7	-7	-3.78117051339972	-7	-4.08196966321512	-7	-7	-7	-7	-3.78117051339972	-7	-7	-4.08196966321512	-7	-4.08196966321512	-7	-7	-3.48004081924793	-4.08196966321512	-7	-4.08196966321512	-3.78117051339972
HA7	Hepatopancreas Gen 2	-4.53461714855158	-7	-2.27120192259381	-3.83675809711146	-7	-7	-7	-4.0584885673656	-7	-7	-7	-4.53461714855158	-7	-7	-7	-3.07357831729707	-2.9232077800049	-7	-3.83675809711146	-3.83675809711146	-3.69071698108843	-7	-7	-0.547602552369225	-7	-7	-7	-7	-4.53461714855158	-7	-7	-7	-7	-4.53461714855158	-7	-7	-7	-7	-4.53461714855158	-7	-7	-7	-7	-7	-3.13802793098352	-4.53461714855158	-7	-7	-4.23433144524099
HA8	Hepatopancreas Gen 2	-4.53461714855158	-7	-2.61193309554271	-4.53461714855158	-7	-4.53461714855158	-7	-3.49470211531107	-7	-4.53461714855158	-7	-4.23433144524099	-4.0584885673656	-7	-7	-2.8386020474542	-2.91294514263863	-7	-4.0584885673656	-3.93516778026143	-4.23433144524099	-3.49471432585587	-4.23433144524099	-0.455603461689012	-7	-7	-7	-7	-7	-7	-7	-4.53461714855158	-7	-7	-7	-7	-4.23433144524099	-7	-7	-7	-4.53461714855158	-4.53461714855158	-7	-7	-2.9787693415203	-7	-7	-7	-3.93379711110234
