group	gut_healthy_log10	gut_diseased_log10	order
D_5__Aeromonas	-7	-7	2
D_5__Afifella	-5.4089353929735	-7	3
D_5__Bacillus	-2.926200662201	-3.21444545793843	4
D_5__Bdellovibrio	-5.57893928080812	-3.89545143626924	5
D_5__Bowmanella	-7	-7	6
D_5__Clostridium	-2.37399998383282	-4.06E+00	7
D_5__Ectothiorhodospira	-7	-7.00E+00	8
D_5__Enterobacter	-7	-7.00E+00	9
D_5__Enterococcus	-7	-7	10
D_5__Exiguobacterium	-5.19156619594819	-5.15906000771616	11
D_5__Glutamicibacter	-7	-7	12
D_5__Lactobacillus	-7	-7	13
D_5__Lactococcus	-7	-7	1.40E+01
D_5__Marinomonas	-4.52191423569852	-7	15
D_5__Phaeobacter	-7	-7	16
D_5__Pseudoalteromonas	-1.8922900551221	-2.3337129869905	17
D_5__Pseudomonas	-4.41253935948581	-4.4059755955977	18
D_5__Rhodobacter	-7	-5.14874165128092	19
D_5__Rhodopseudomonas	-7	-7	20
D_5__Shewanella	-5.86327943284359	-4.63E+00	21
D_5__Staphylococcus	-4.41253935948581	-4.40782324260413	22
D_5__Streptococcus	-4.11045012008798	-4.31366140487532	23
D_5__Streptomyces	-4.33431584112243	-3.92543697172173	2.40E+01
D_5__Vibrio	-0.271793686151897	-0.531981596402203	25
D_5__Weissella	-7	-7	26
D_6__Bacillus_amyloliquefaciens	-7	-7	28
D_6__Bacillus_aryabhattai	-7	-7	29
D_6__Bacillus_cereus	-4.52191423569852	-7	30
D_6__Bacillus_endophyticus	-7	-7	31
D_6__Bacillus_firmus	-5.28678675465853	-5.33410957889754	32
D_6__Bacillus_foraminis	-5.86327943284359	-5.62464736076724	33
D_6__Bacillus_licheniformis	-3.82053639795084	-7	34
D_6__Bacillus_megaterium	-7	-7	35
D_6__Bacillus_pumilus	-7	-7	36
D_6__Bacillus_subtilis	-3.56905673989969	-7	37
D_6__Bacillus_thuringiensis	-7	-7	38
D_6__Bacillus_vireti	-5.86327943284359	-4.93429707215906	39
D_6__Enterobacter_hormaechei	-7	-7	40
D_6__Pseudoalteromonas_flavipulchra	-7	-7	41
D_6__Pseudoalteromonas_ruthenica	-7	-7	42
D_6__Rhodopseudomonas_palustris	-7	-7	43
D_6__Shewanella_algae	-7	-7	44
D_6__Staphylococcus_haemolyticus	-7	-7	45
D_6__Streptococcus_salivarius	-7	-5.14894967309836	46
D_6__Vibrio_alginolyticus	-2.70913183143781	-3.11243220755649	47
D_6__Vibrio_fluvialis	-7	-7	48
D_6__Vibrio_gazogenes	-7	-7	49
D_6__Vibrio_hepatarius	-2.65256088799804	-3.90429273573973	50
D_6__Vibrio_mediterranei	-3.72885800821935	-4.11041819785038	51
