sample	group	Aeromonas	Afifella	Bacillus	Bdellovibrio	Bowmanella	Clostridium	Ectothiorhodospira	Enterobacter	Enterococcus	Exiguobacterium	Glutamicibacter	Lactobacillus	Lactococcus	Marinomonas	Phaeobacter	Pseudoalteromonas	Pseudomonas	Rhodobacter	Rhodopseudomonas	Shewanella	Staphylococcus	Streptococcus	Streptomyces	Vibrio	Weissella
IL1	Genetic 1	0.000399872	0	0.000579814	0	1E-05	2E-05	1E-05	0.000589811	0	0	1E-05	0	0	2E-05	0	0.003168986	0.00033	0	0	0.000369882	5E-05	1E-05	3E-05	0.854	0
IL2	Genetic 1	0.001328904	0	0.005813953	0	0	0.000664452	0	0.000830565	0	0	0	0	0	0	0	0.054318937	0.000830565	0	0	0.001495017	0	0	0	0.336212625	0
IL3	Genetic 1	0.000448109	0	0.011919699	0	0	0.0857	0	0.000179	0	0	0	0	0	8.96E-05	0.000179	0.00654	0.000448109	0	0	0.001702814	8.96E-05	0	0.000179244	0.141	0
IL4	Genetic 1	0.000186892	0	0.000258773	0	0	5.75E-05	0	5.75E-05	0	0	0	0	0	0	0	0.00352	0.000819448	0	0	0.001466381	0	0	0	0.024597823	0
IL6	Genetic 1	0.000426823	1.58E-05	0.0047741	3.16E-05	1.58E-05	0.000316	0	0.000379399	1.58E-05	0	0	3.16E-05	1.58E-05	0	1.58E-05	0.00484	0.000932688	1.58E-05	0	0.001675677	3.16E-05	0	3.16E-05	0.236523444	1.58E-05
IL8	Genetic 1	0.00099841	0	0.000850497	3.7E-05	0	0.000147913	0	0.000961432	0	0.000258847	3.7E-05	0	7.4E-05	0.000258847	0	0.008320083	0.001553082	0	0	0.000295825	0.00263	0.000147913	0.000148	0.43497393	0
IA2	Genetic 2	0.000269442	0	0.000262352	0	0	3.55E-05	0	0.000425435	0	0	0	0	0	7.09E-06	7.09E-06	0.00399	0.000177265	0	0	0.000467979	0	0	6.38E-05	0.701	0
IA3	Genetic 2	0.00016104	0	0.001572506	2.84E-05	9.47E-06	0.000549	0	0.000483119	0	0	0	0	0	9.47E-06	0	0.00355	0.000246296	0	9.47E-06	0.00038839	0	0	3.79E-05	0.848	0
IA4	Genetic 2	0.000439638	0	0.001494768	0	0	0	0	0.000175855	0	0	0	0	0	0	0	0.005275653	0	0	0	0.001406841	8.79E-05	0	0	0.069111052	0
IA5	Genetic 2	0.000112182	0	0.000196318	0	0	2.8E-05	0	0.000224363	0	0	0	0	0	0	0	0.0214	0.00021034	0	0	0.000112182	0	0	0	0.097415618	0
IA7	Genetic 2	0.000272905	0	0.0004923	2.68E-06	2.68E-06	4.01E-05	0	0.000262	5.35E-06	0	0	0	0	2.68E-06	8.03E-06	0.00154	0.000401331	0	0	0.000131102	5.35E-06	5.35E-06	1.61E-05	0.141	0
IA8	Genetic 2	3.37E-05	0	0.000236223	0	0	0	0	0.000236223	0	0	0	0	0	0	0	0.001349846	0.000404954	0	0	3.37E-05	0	0	0.000101238	0.275334931	0
IA9	Genetic 2	0.000151729	0	0.002557711	2.17E-05	2.17E-05	0.007131245	0	0.000108378	0	0	0	0	0	0	2.17E-05	0.001148802	0.000520212	0	0	4.34E-05	2.17E-05	0	0	0.051175897	0.000108378
7A	i-sano	0	0	0.00070373	0	0	0	0	0	0	0	0	0	0	0	0	0.008947421	0.000100533	0	0	0	0.000100533	0.000100533	0.000100533	0.821252639	0
68-BI	i-sano	0	1.14E-05	0.000335005	7.61E-06	0	0.0125	0	0	0	1.9E-05	0	0	0	0	0	0.0146	1.52E-05	0	0	3.81E-06	1.52E-05	4.19E-05	3.81E-05	0.107757259	0
139-I	i-sano	0	0	0.002516628	0	0	0.000179759	0	0	0	0	0	0	0	8.99E-05	0	0.014920007	0	0	0	0	0	8.99E-05	0	0.675	0
2-BI	i-enfermo	0	0	0.000627233	0	0	6.82E-05	0	0	0	2.05E-05	0	0	0	0	0	0.00588	5.45E-05	0	0	6.82E-06	7.5E-05	6.14E-05	0.000102266	0.451041752	0
27-BI	i-enfermo	0	0	0.000608707	8.4E-05	0	4.2E-05	0	0	0	0	0	0	0	0	0	0.00356828	6.3E-05	2.1E-05	0	6.3E-05	4.2E-05	8.4E-05	0.000104949	0.03406658	0
49-BI	i-enfermo	0	0	0.000594707	0.000297354	0	0.000148677	0	0	0	0	0	0	0	0	0	0.004460303	0	0	0	0	0	0	0.000148677	0.39622361	0
