sample	group	Bacillus_amyloliquefaciens	Bacillus_cereus	Bacillus_circulans	Bacillus_coagulans	Bacillus_firmus	Bacillus_firmus	Bacillus_licheniformis	Bacillus_megaterium_WSH-002	Bacillus_pumilus	Bacillus_subtilis	Bacillus_subtilis_subsp._subtilis_str._168	Bacillus_tequilensis	Bacillus_thuringiensis	Bdellovibrio_bacteriovorus	Bifidobacterium_bifidum	Bifidobacterium_thermophilum	Clostridium_butyricum	Enterobacter_hormaechei_subsp._hormaechei	Enterococcus_faecium	Lactobacillus_delbrueckii	Lactobacillus_fermentum	Lactobacillus pentosus	Lactobacillus_plantarum	Lactobacillus_reuteri	Lactococcus_lactis_subsp._lactis	Lysinibacillus_fusiformis	Paenibacillus_polymyxa	Pediococcus_acidilactici	Pediococcus_acidilactici_MA18/5M	Pseudoalteromonas_piscicida	Pseudomonas_aeruginosa	Pseudomonas_putida	Pseudomonas_putida	Pseudomonas_putida_B6-2	Pseudoalteromonas ruthenica CP76	Pseudomonas_synxantha	Rhodopseudomonas_palustris	Streptococcus thermophilus TH1435	Vibrio_alginolyticus	Vibrio_fluvialis	Vibrio_hepatarius	Vibrio_mediterranei
C.1i1	DB	0	2.77354042435168E-05	0	0.000138677021218	0	0	0.000416031063653	0	2.77354042435168E-05	0	0	0.000110941616974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.77354042435168E-05	0	0	0	0.000721120510331	0	0.012203577867147	0.000166412425461
C.1i2	DB	0	0	0	0.015503875968992	0	0	0.007751937984496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007751937984496	0	0.007751937984496	0
C.1i3	DB	0	0	0	0.000359945288316	0	0	0.001223813980275	0	7.19890576632352E-05	0	0	0	0	0	0	0	0	7.19890576632352E-05	0	0	7.19890576632352E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000431934345979	0	0.069325462529695	0.000575912461306
C.1i4	DB	0	0	0	6.92496797202313E-05	0	0	0.000311623558741	0	0	0	0	3.46248398601156E-05	0	0	0	0	0	0	0	0	0	6.92496797202313E-05	0	0	0	0	0	0	0	0	3.46248398601156E-05	0	0.00010387451958	0	0	0	0	0	0.000415498078321	0	0.017485544129358	0.00010387451958
C.2i1	DB	0	0	0	0.001208702659146	0	0	0	0	0	0	0.000402900886382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000402900886382	0	0.007252215954875	0.000402900886382
C.2i2	DB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000389660994934	0	0	0	0	0	0.001428756981426	0	0.03364073256267	0
C.2i3	DB	0	0	0	8.49641734401993E-05	0	0	0.000339856693761	0	5.66427822934662E-05	2.83213911467331E-05	0	2.83213911467331E-05	0	0	0	0	0	0	2.83213911467331E-05	0	0	0	0	0	0	0	0	0	0	0	8.49641734401993E-05	0	0.000453142258348	0	2.83213911467331E-05	2.83213911467331E-05	0	2.83213911467331E-05	0.000509785040641	0	0.054037214307967	0.00016992834688
C.2i4	DB	0	0	0	0.000356522126654	0	0	0.001871741164936	0	0.000178261063327	4.45652658318106E-05	0	8.91305316636213E-05	0	0	0	0	0.000133695797495	0	0	0	0	0	0	0	0	0	0	0	8.91305316636213E-05	0	8.91305316636213E-05	0	0.00049021792415	0	4.45652658318106E-05	4.45652658318106E-05	0	4.45652658318106E-05	0.000668478987477	0	0.043495699451847	4.45652658318106E-05
C.3i1	DB	0	0.000135513596531	0	0	0	0	0	4.51711988436173E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.51711988436173E-05	0	0	0	4.51711988436173E-05	0	9.03423976872346E-05	0	0	4.51711988436173E-05	0	0	0.001445478362996	0	0.03184569518475	0.000180684795374
C.3i2	DB	0	0	0	0.000158657126085	0	0	0.000380777102604	1.58657126084818E-05	0	0	0	0	1.58657126084818E-05	0	0	4.75971378254454E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.17314252169636E-05	0	7.9328563042409E-05	0	6.34628504339272E-05	0	0	4.75971378254454E-05	0.000555299941297	0	0.019387900807565	0.000253851401736
C.3i3	DB	0	0.000550547106187	0	3.44091941366733E-05	0	0.00010322758241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000378501135503	3.44091941366733E-05	0.00237423439543	0	0	0.000172045970683	0.00020645516482	0	0.000550547106187	0	0.058117128896841	6.88183882733466E-05
C.3i4	DB	0	0	0	0	0	0	0.000170018872095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000153016984885	0	0.00066307360117	0	1.70018872094802E-05	0	0	0	0.001139126443035	0	0.0150636720676	0.000119013210466
2.1i1	AG2	0	0	0	0.000163737583233	0	0	0.000764108721755	0	2.72895972055452E-05	0	2.72895972055452E-05	2.72895972055452E-05	0	0	0	0	0	0	0	0	0	0	0	0	2.72895972055452E-05	0	0	0	0	2.72895972055452E-05	2.72895972055452E-05	0	5.45791944110904E-05	0	0	0	2.72895972055452E-05	2.72895972055452E-05	0.000873267110577	0	0.012280318742495	8.18687916166357E-05
2.1i2	AG2	0	0	0	0.000214322892747	0	0	0.000336793117173	6.12351122133431E-05	9.18526683200147E-05	0	0	6.12351122133431E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.12351122133431E-05	0	0.00018370533664	0	3.06175561066715E-05	0	3.06175561066715E-05	0	0.001040996907627	0	0.010471204188482	0.000244940448853
2.1i3	AG2	0	0	0	9.38240330260596E-05	0	0	7.03680247695447E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.34560082565149E-05	0	0	0	0	0	0	0	0	0	0	4.69120165130298E-05	0	0	0	0	2.34560082565149E-05	0.0005394881899	0	0.035817324607698	7.03680247695447E-05
2.1i4	AG2	0	0	0	0.000153098327401	0	0	0.000421020400352	0	3.82745818501932E-05	0	3.82745818501932E-05	0	0	0	0	0	0	0	0	3.82745818501932E-05	0	0	0	0	0.000114823745551	0	0	0	0	0	7.65491637003865E-05	0	0.000306196654802	0	0	3.82745818501932E-05	0	0	0.000229647491101	0	0.053775787499522	0.000114823745551
2.2i1	AG2	0	0	0	0.000121469784391	0	0	0.000526369065695	6.07348921955663E-05	0.000182204676587	2.02449640651887E-05	0	4.04899281303775E-05	2.02449640651887E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	6.07348921955663E-05	0	0	0	6.07348921955663E-05	0	0.000141714748456	0	0	0	0	2.02449640651887E-05	0.000688328778216	0	0.013260451462699	0.000242939568782
2.2i2	AG2	0	0	0	0	0	0	5.99664188054689E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.99664188054689E-05	0	0	5.99664188054689E-05	0	0	0.000779563444471	0	0.01019429119693	5.99664188054689E-05
2.2i3	AG2	0	0	0	0	0	0	0.000280932696553	0	0	0	0	0	0	0	0	0	0	4.01332423646506E-05	0	0	0	0	0	0	0	0	0	0	0	0	8.02664847293012E-05	0	8.02664847293012E-05	0	0	0	0	0	0.000160532969459	0	0.561544327166191	0
2.2i4	AG2	0	0	0	0.000104843782764	0	0.000104843782764	5.2421891381841E-05	0	0	0	0	0	0	0	0	0	0	0	0.0005766408052	0	0	0	0	0	0	0	0	0	0	0	0.0005766408052	0	0.001100859719019	0	0	5.2421891381841E-05	5.2421891381841E-05	0	0.000314531348291	0	0.285699308031033	5.2421891381841E-05
2.3i1	AG2	0	0	0	5.24548887956357E-05	0	0	5.24548887956357E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000157364666387	0	0	0	0	0	0.000209819555183	5.24548887956357E-05	0.490033571128829	0
2.3i2	AG2	0	0	0	2.81507755538665E-05	0	0	0	0	0	0	2.81507755538665E-05	2.81507755538665E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.81507755538665E-05	0	0.000281507755539	0	0	2.81507755538665E-05	0	0	0.000394110857754	0	0.288658052529347	8.44523266615995E-05
2.3i3	AG2	0	0	0	5.26482046962198E-05	0	0	0.000210592818785	0	0	5.26482046962198E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.26482046962198E-05	0	0	5.26482046962198E-05	5.26482046962198E-05	0	0	0	0	0	0	0	0.000526482046962	0	0.201695272191218	0.000157944614089
2.3i4	AG2	0	2.7040181710021E-05	0	0	0	0	0	0	2.7040181710021E-05	2.7040181710021E-05	0	0	0	0	2.7040181710021E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7040181710021E-05	0	2.7040181710021E-05	0	0	0	0	0	0.00062192417933	0	0.176410145476177	5.40803634200421E-05
10.1i1	AG10	0	0	0	0.000232180171813	0	0	0.000799731702913	0	7.73933906044423E-05	0	0	5.15955937362949E-05	2.57977968681474E-05	0	0	0	0	0	0	5.15955937362949E-05	0	0	0	0	5.15955937362949E-05	0	0	0	0	0	5.15955937362949E-05	0	5.15955937362949E-05	0	0	0	0	5.15955937362949E-05	0.000438562546759	0	0.037974356989913	0.000180584578077
10.1i2	AG10	0	0	0	0.000452693526483	0	0.000226346763241	0	0	0	0	0.000226346763241	0	0	0.000226346763241	0	0	0	0	0	0	0	0.000113173381621	0	0	0	0	0	0	0	0	0.001923947487551	0.000113173381621	0.005771842462653	0	0	0	0.000565866908103	0.000113173381621	0.000226346763241	0	0.003282028066999	0
10.1i3	AG10	0	0	0	6.6124446207763E-05	0	3.30622231038815E-05	0.000793493354493	0	6.6124446207763E-05	3.30622231038815E-05	3.30622231038815E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000396746677247	0	0.00102492891622	0	3.30622231038815E-05	3.30622231038815E-05	3.30622231038815E-05	0	0.001091053362428	0	0.02691264960656	9.91866693116445E-05
10.1i4	AG10	0	0	0	0	0	0	0.001633097441481	0	0	0	0	0.000272182906913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001088731627654	0	0.008165487207403	0	0	0	0.001088731627654	0	0	0	0.022046815459989	0
10.2i1	AG10	0	0	0	0	5.23176729099089E-05	0	0.00010463534582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.23176729099089E-05	0	0	0.00010463534582	0	0.00020927069164	0	0	0	0	0	0.001255624149838	0	0.009940357852883	0.000470859056189
