sample	group	Bacillus_amyloliquefaciens	Bacillus_cereus	Bacillus_circulans	Bacillus_coagulans	Bacillus_firmus	Bacillus_firmus	Bacillus_licheniformis	Bacillus_megaterium_WSH-002	Bacillus_pumilus	Bacillus_subtilis	Bacillus_subtilis_subsp._subtilis_str._168	Bacillus_tequilensis	Bacillus_thuringiensis	Bdellovibrio_bacteriovorus	Bifidobacterium_bifidum	Bifidobacterium_thermophilum	Clostridium_butyricum	Enterobacter_hormaechei_subsp._hormaechei	Enterococcus_faecium	Lactobacillus_delbrueckii	Lactobacillus_fermentum	Lactobacillus pentosus	Lactobacillus_plantarum	Lactobacillus_reuteri	Lactococcus_lactis_subsp._lactis	Lysinibacillus_fusiformis	Paenibacillus_polymyxa	Pediococcus_acidilactici	Pediococcus_acidilactici_MA18/5M	Pseudoalteromonas_piscicida	Pseudomonas_aeruginosa	Pseudomonas_putida	Pseudomonas_putida	Pseudomonas_putida_B6-2	Pseudoalteromonas ruthenica CP76	Pseudomonas_synxantha	Rhodopseudomonas_palustris	Streptococcus thermophilus TH1435	Vibrio_alginolyticus	Vibrio_fluvialis	Vibrio_hepatarius	Vibrio_mediterranei
C.1H1	DB	0	0	0	0	0	0	0.000125341555739	0	2.50683111478779E-05	0	0	0	2.50683111478779E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.50683111478779E-05	0	0.000150409866887	0	0	0	0	0	0.000125341555739	0	0.001278483868542	5.01366222957559E-05
C.1H2	DB	0	0	0	0	2.55277869961453E-05	0	0.000102111147985	5.10555739922906E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000510555739923	2.55277869961453E-05	0	0	0	0	0.001072167053838	0	0.000280805656958	0.000102111147985
C.1H3	DB	0	0	0	9.94431185361973E-05	0	0	9.94431185361973E-05	3.31477061787324E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.31477061787324E-05	0	0	0	3.31477061787324E-05	0	0.000198886237072	0	0	0	0	0	0.001292760540971	3.31477061787324E-05	0.000232033943251	0.000165738530894
C.1H4	DB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014285714285714	0	0	0	0	0	0.014285714285714	0	0	0
C.2H1	DB	0	0.000115842639359	0	0	0	0	0.000162179695102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3168527871739E-05	0	0	0	0	0	9.26741114869561E-05	0	0	0	0	0	0.00120476344933	0	0.00013901116723	9.26741114869561E-05
C.2H2	DB	0	0	0	0	0	0	0.007462686567164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C.2H3	DB	0	0	0	0.000106202209006	0	0	0.000318606627018	0	0	0	0	0.000106202209006	0	0	0	0	0	0	0	0	0	0.000424808836024	0	0	0	0	0	0	0	0	0.000106202209006	0	0.000318606627018	0	0	0	0	0	0.001593033135089	0	0.001593033135089	0.000424808836024
C.2H4	DB	0	0	0	0.000625195373554	0	0	0.002709179952068	0	0.000208398457851	0	0	0.000104199228926	0.000104199228926	0	0	0	0	0	0.000312597686777	0	0	0.000625195373554	0	0	0	0	0	0.000104199228926	0	0	0.000312597686777	0	0.001771386891737	0	0	0.000104199228926	0	0	0.000625195373554	0	0.016776075857039	0
C.3H1	DB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00014438348253	0	0	0	0	0	0	0	0	0	0	0	0.00014438348253	0	0.001155067860237	0	0	0	0	0	0.000433150447589	0	0.000721917412648	0.00014438348253
C.3H2	DB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C.3H3	DB	0	0	0	8.97021887334051E-05	0	0	0	8.97021887334051E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000179404377467	0	0.001838894869035	0	0	0	0	0	0.001480086114101	0	0.006593110871905	4.48510943667025E-05
C.3H4	DB	0	0	0	0	0	0.000263227165043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000526454330087	0
2.1H1	AG2	0	0	0	2.09209397686144E-05	0	0	0.000104604698843	0	1.04604698843072E-05	0	0	1.04604698843072E-05	1.04604698843072E-05	0	0	0	0	0	0	0	0	2.09209397686144E-05	0	1.04604698843072E-05	0	0	0	0	0.000836837590745	0	2.09209397686144E-05	0	0.000282432686876	0	1.04604698843072E-05	3.13814096529216E-05	4.18418795372288E-05	4.18418795372288E-05	0.001077428398084	0	0.00150630766334	0.000177827988033
2.1H2	AG2	0	3.23122657360734E-05	0	0	0	0	3.23122657360734E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.23122657360734E-05	0	0	0	0	0	0	0	0	9.69367972082202E-05	0	0	0	0	0	0.001260178363707	3.23122657360734E-05	0.003845159622593	0.000129249062944
