sample	group	values
C.1H1	DB_hep	0.00180
C.1H2	DB_hep	0.00217
C.1H3	DB_hep	0.00222
C.1H4	DB_hep	0.02857
C.2H1	DB_hep	0.00183
C.2H2	DB_hep	0.00746
C.2H3	DB_hep	0.00499
C.2H4	DB_hep	0.02438
C.3H1	DB_hep	0.00274
C.3H2	DB_hep	0.00000
C.3H3	DB_hep	0.01032
C.3H4	DB_hep	0.00079
2.1H1	AG2_hep	0.004216
2.1H2	AG2_hep	0.005461
2.1H3	AG2_hep	0.001461
2.1H4	AG2_hep	0.007692
2.2H1	AG2_hep	0.015686
2.2H2	AG2_hep	0.001375
2.2H3	AG2_hep	0.002339
2.2H4	AG2_hep	0.002438
2.3H1	AG2_hep	0.014838
2.3H2	AG2_hep	0.010285
2.3H3	AG2_hep	0.007140
2.3H4	AG2_hep	0.036145
10.1H1	AG10_hep	0.008619401126003
10.1H2	AG10_hep	0.028732155819018
10.1H3	AG10_hep	0.022306635415825
10.1H4	AG10_hep	0.001926292069492
10.2H1	AG10_hep	0.00385556461778
10.2H2	AG10_hep	0.008979239997127
10.2H3	AG10_hep	0.035500535500536
10.2H4	AG10_hep	0.007874015748032
10.3H1	AG10_hep	0.003043392892205
10.3H2	AG10_hep	0.005121510343442
10.3H3	AG10_hep	0.005481180622646
C.1i1	DB_gut	0.0138
C.1i2	DB_gut	0.0388
C.1i3	DB_gut	0.0721
C.1i4	DB_gut	0.0186
C.2i1	DB_gut	0.0097
C.2i2	DB_gut	0.0355
C.2i3	DB_gut	0.0559
C.2i4	DB_gut	0.0477
C.3i1	DB_gut	0.0339
C.3i2	DB_gut	0.0210
C.3i3	DB_gut	0.0626
C.3i4	DB_gut	0.0173
2.1i1	AG2_gut	0.0144
2.1i2	AG2_gut	0.0128
2.1i3	AG2_gut	0.0367
2.1i4	AG2_gut	0.0553
2.2i1	AG2_gut	0.0154
2.2i2	AG2_gut	0.0112
2.2i3	AG2_gut	0.5622
2.2i4	AG2_gut	0.2887
2.3i1	AG2_gut	0.4906
2.3i2	AG2_gut	0.2896
2.3i3	AG2_gut	0.2029
2.3i4	AG2_gut	0.1772
10.1i1	AG10_gut	0.0400
10.1i2	AG10_gut	0.0132
10.1i3	AG10_gut	0.0306
10.1i4	AG10_gut	0.0343
10.2i1	AG10_gut	0.0122
10.2i2	AG10_gut	0.0935
10.2i3	AG10_gut	0.0230
10.2i4	AG10_gut	0.0374
10.3i1	AG10_gut	0.0697
10.3i2	AG10_gut	0.0138
10.3i3	AG10_gut	0.0166
10.3i4	AG10_gut	0.2282
